model,component,station,metric,value,valid_days,mask_sha256,unit,status
M1,mixture,four_point_mean,picp_90,0.9163822525597269,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M1,mixture,ATU1,width_90,29.04692048900257,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,ATU5,width_90,29.046920489002567,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,MJ3,width_90,29.046920489003924,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,MJ1,width_90,29.046920489002737,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,four_point_mean,width_90,29.04692048900295,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,ATU1,interval_score_90,42.657471289190354,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,ATU5,interval_score_90,29.046920489002567,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,MJ3,interval_score_90,76.14552966840692,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,MJ1,interval_score_90,29.046920489002737,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,four_point_mean,interval_score_90,44.22421048390065,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,ATU1,picp_95,0.9453924914675768,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M1,mixture,ATU5,picp_95,1.0,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M1,mixture,MJ3,picp_95,0.7713310580204779,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M1,mixture,MJ1,picp_95,1.0,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M1,mixture,four_point_mean,picp_95,0.9291808873720137,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M1,mixture,ATU1,width_95,34.61154106655641,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,ATU5,width_95,34.611541066556455,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,MJ3,width_95,34.61154106655697,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,MJ1,width_95,34.61154106655653,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,four_point_mean,width_95,34.61154106655659,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,ATU1,interval_score_95,55.29270230598091,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,ATU5,interval_score_95,34.611541066556455,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,MJ3,interval_score_95,101.01649538695439,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,MJ1,interval_score_95,34.61154106655653,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,four_point_mean,interval_score_95,56.383069956512074,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,pooled,rmse,9.450630013631482,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU1,rmse,8.06824598915759,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU5,rmse,9.115006709976605,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ3,rmse,13.016273948901423,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ1,rmse,6.297166223062725,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,four_point_mean,rmse,9.124173217774585,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU1,mae,5.431794127410308,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU5,mae,8.108033069793365,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ3,mae,8.779058899073371,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ1,mae,5.287870905170758,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,four_point_mean,mae,6.901689250361951,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU1,crps,4.159929339195784,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU5,crps,5.395498802425873,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ3,crps,7.1005351992156225,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ1,crps,3.730086608943953,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,four_point_mean,crps,5.096512487445309,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU1,picp_80,0.9283276450511946,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,ATU5,picp_80,0.7201365187713311,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,MJ3,picp_80,0.689419795221843,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,MJ1,picp_80,1.0,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,four_point_mean,picp_80,0.8344709897610922,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,ATU1,width_80,22.631270075379394,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU5,width_80,22.631270075378936,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ3,width_80,22.631270075379504,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ1,width_80,22.631270075379128,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,four_point_mean,width_80,22.63127007537924,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU1,interval_score_80,31.597295934570916,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU5,interval_score_80,25.392853042698846,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ3,interval_score_80,55.56553493364124,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ1,interval_score_80,22.631270075379128,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,four_point_mean,interval_score_80,33.79673849657253,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU1,picp_90,0.9385665529010239,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,ATU5,picp_90,1.0,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,MJ3,picp_90,0.726962457337884,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,MJ1,picp_90,1.0,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,four_point_mean,picp_90,0.9163822525597269,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,ATU1,width_90,29.04692048900257,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU5,width_90,29.046920489002567,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ3,width_90,29.046920489003938,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ1,width_90,29.04692048900275,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,four_point_mean,width_90,29.046920489002957,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU1,interval_score_90,42.657471289190354,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU5,interval_score_90,29.046920489002567,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ3,interval_score_90,76.14552966840692,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ1,interval_score_90,29.04692048900275,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,four_point_mean,interval_score_90,44.224210483900656,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU1,picp_95,0.9453924914675768,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,ATU5,picp_95,1.0,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,MJ3,picp_95,0.7713310580204779,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,MJ1,picp_95,1.0,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,four_point_mean,picp_95,0.9291808873720137,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M2,mixture,ATU1,width_95,34.61154106655641,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU5,width_95,34.61154106655645,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ3,width_95,34.61154106655697,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ1,width_95,34.61154106655655,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,four_point_mean,width_95,34.61154106655659,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU1,interval_score_95,55.29270230598091,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,ATU5,interval_score_95,34.61154106655645,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ3,interval_score_95,101.0164953869544,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,MJ1,interval_score_95,34.61154106655655,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,four_point_mean,interval_score_95,56.38306995651208,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M2,mixture,pooled,rmse,9.450630013631471,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
