phase,seed,horizon,point,mae_difference,rmse_difference
development,0,7,ATU5,0.17261755864082,0.505662231770097
development,0,7,MJ3,-0.218726618626619,-0.255358827829906
development,0,7,MJ1,-0.3794954376146,-0.344888729192109
development,1,1,ATU1,-0.0823008731406559,-0.246542137285965
development,1,1,ATU5,-0.0060756518059317,-0.066394686411036
development,1,1,MJ3,-0.0232751831254063,-0.0344748828865016
development,1,1,MJ1,-0.0320670596052225,-0.0339013859053557
development,1,2,ATU1,-0.155265624086498,-0.522779171092227
development,1,2,ATU5,-0.00864256429263421,-0.174462432383945
development,1,2,MJ3,-0.0478788229860232,-0.0710097546071594
development,1,2,MJ1,-0.0582341919883863,-0.0620909880969281
development,1,3,ATU1,-0.184284841781113,-0.748173428789426
development,1,3,ATU5,0.02217031083397,-0.241919502018234
development,1,3,MJ3,-0.0746551113670375,-0.11119061766201
development,1,3,MJ1,-0.0825645112871671,-0.0887897382343335
development,1,4,ATU1,-0.171449086656591,-0.890602845567422
development,1,4,ATU5,0.0844765108826537,-0.253501426426764
development,1,4,MJ3,-0.104338521052249,-0.154866544205061
development,1,4,MJ1,-0.106770966463965,-0.115447615079942
development,1,5,ATU1,-0.126236282447592,-0.963305231825781
development,1,5,ATU5,0.156276742228925,-0.241718698013772
development,1,5,MJ3,-0.137703326540562,-0.201639909327995
development,1,5,MJ1,-0.130872905644891,-0.141784527249989
development,1,6,ATU1,-0.0396841574347573,-0.984010444964225
development,1,6,ATU5,0.242281212448434,-0.20217629600457
development,1,6,MJ3,-0.175014938087687,-0.251430599239307
development,1,6,MJ1,-0.154846257963562,-0.16759299359026
development,1,7,ATU1,0.094166959301518,-0.95705397551481
development,1,7,ATU5,0.351702718664928,-0.0987848780509291
development,1,7,MJ3,-0.216339218032069,-0.304264737561166
development,1,7,MJ1,-0.178930391551207,-0.192792738456554
development,2,1,ATU1,0.0394446803294673,0.0291976599315855
development,2,1,ATU5,0.0638650224721688,0.0438668872854821
development,2,1,MJ3,-0.0678958348143855,-0.0751026029682616
development,2,1,MJ1,-0.0581300190353596,-0.0610319544582821
development,2,2,ATU1,0.0781935602280334,-0.0709022497328078
development,2,2,ATU5,0.111393299613534,0.031986750196616
development,2,2,MJ3,-0.138825739550266,-0.151179321109726
development,2,2,MJ1,-0.110069387387626,-0.119178644787706
development,2,3,ATU1,0.109311502424024,-0.283402920415696
development,2,3,ATU5,0.162335956431814,0.00170940132233155
development,2,3,MJ3,-0.21138693493672,-0.225063677668355
development,2,3,MJ1,-0.155789818757418,-0.17088482004381
development,2,4,ATU1,0.127164227906011,-0.507314405263525
development,2,4,ATU5,0.237857599965402,-0.00754543487929316
development,2,4,MJ3,-0.285798212038004,-0.296234483402527
development,2,4,MJ1,-0.197715113925928,-0.21834507223024
development,2,5,ATU1,0.171129313762155,-0.668810373616985
development,2,5,ATU5,0.34409711529141,0.0275246788297461
development,2,5,MJ3,-0.361941092006413,-0.365387371745455
development,2,5,MJ1,-0.237548337352416,-0.263178875980307
development,2,6,ATU1,0.264106926961686,-0.759658068503729
development,2,6,ATU5,0.479908174834271,0.116797708209446
development,2,6,MJ3,-0.439310871383518,-0.432692994275692
development,2,6,MJ1,-0.27394844861888,-0.304834581137759
development,2,7,ATU1,0.378174376816529,-0.801834576010501
development,2,7,ATU5,0.639219026854363,0.264049761826026
development,2,7,MJ3,-0.516574360933767,-0.500112002250495
development,2,7,MJ1,-0.308993096745818,-0.345076595790449
later_exploratory,0,1,ATU1,0.0337665958954763,0.0458315083328061
later_exploratory,0,1,ATU5,-0.0194990749198473,-0.0241903380819925
later_exploratory,0,1,MJ3,0.0197694141348913,0.0441270564599331
later_exploratory,0,1,MJ1,0.0193281018334595,0.0592664244384441
later_exploratory,0,2,ATU1,0.0604786570363381,0.0984740881300948
later_exploratory,0,2,ATU5,-0.0401417622925386,-0.0475383023505327
later_exploratory,0,2,MJ3,0.0363132188786281,0.0828673053705415
later_exploratory,0,2,MJ1,0.00732639386227066,0.060787162711677
later_exploratory,0,3,ATU1,0.0796826630055081,0.14873163114565
later_exploratory,0,3,ATU5,-0.0646018461987771,-0.0732576578876151
later_exploratory,0,3,MJ3,0.0520934672993086,0.118720735821432
later_exploratory,0,3,MJ1,-0.0289302675572189,0.0235710449963468
later_exploratory,0,4,ATU1,0.0903282665784864,0.19243931298122
later_exploratory,0,4,ATU5,-0.096032978710052,-0.109467047405434
later_exploratory,0,4,MJ3,0.0673914441860445,0.15206614037045
later_exploratory,0,4,MJ1,-0.068550477908955,-0.0141358933182237
later_exploratory,0,5,ATU1,0.089244477022366,0.225491802554454
later_exploratory,0,5,ATU5,-0.139804520387506,-0.15967951394452
later_exploratory,0,5,MJ3,0.0822496628406622,0.182088255951599
later_exploratory,0,5,MJ1,-0.10180804812668,-0.0464136993289377
later_exploratory,0,6,ATU1,0.0795387651678746,0.24853306396701
later_exploratory,0,6,ATU5,-0.196171901147302,-0.225137555011765
later_exploratory,0,6,MJ3,0.0956307959710251,0.205182871166468
later_exploratory,0,6,MJ1,-0.129673955320197,-0.0705709898528475
later_exploratory,0,7,ATU1,0.060223032132908,0.259195443921448
later_exploratory,0,7,ATU5,-0.257514213697379,-0.296278412707203
later_exploratory,0,7,MJ3,0.106254674412507,0.215342744919489
later_exploratory,0,7,MJ1,-0.158112366023554,-0.100492808298634
later_exploratory,1,1,ATU1,-0.0376698690138319,-0.0549376185605274
later_exploratory,1,1,ATU5,-0.000883055405533489,-0.0192765142930293
later_exploratory,1,1,MJ3,-0.0189054224248106,-0.0202013068109299
later_exploratory,1,1,MJ1,0.0296041277416386,0.0569987652617128
later_exploratory,1,2,ATU1,-0.0797624590562923,-0.118661432245374
later_exploratory,1,2,ATU5,0.00216690438958345,-0.0371756264743785
later_exploratory,1,2,MJ3,-0.0393160341185468,-0.043451041758422
later_exploratory,1,2,MJ1,0.0301560197616575,0.0634408538212219
later_exploratory,1,3,ATU1,-0.122248877764528,-0.180743352647243
later_exploratory,1,3,ATU5,0.00217224987672282,-0.0597201767784005
later_exploratory,1,3,MJ3,-0.0615988369209638,-0.0701336441878059
later_exploratory,1,3,MJ1,0.0145559695541739,0.0425032195635399
later_exploratory,1,4,ATU1,-0.16486000022007,-0.241066070010418
later_exploratory,1,4,ATU5,-0.00633006236207778,-0.093907506837122
later_exploratory,1,4,MJ3,-0.0845956521248244,-0.100170857691188
later_exploratory,1,4,MJ1,0.00472093868374512,0.0307608588097747
later_exploratory,1,5,ATU1,-0.213134901515193,-0.306560592003184
later_exploratory,1,5,ATU5,-0.0255376004024395,-0.139711108541628
later_exploratory,1,5,MJ3,-0.106713639598327,-0.131153375152648
later_exploratory,1,5,MJ1,0.003804312551212,0.0339534047421053
later_exploratory,1,6,ATU1,-0.266342167073884,-0.376556165591003
later_exploratory,1,6,ATU5,-0.0528201857330531,-0.190936217212727
later_exploratory,1,6,MJ3,-0.129557255680948,-0.166274834759114
later_exploratory,1,6,MJ1,0.00525289054750411,0.0448488771028169
later_exploratory,1,7,ATU1,-0.32960963286426,-0.451712522472573
later_exploratory,1,7,ATU5,-0.089823427806082,-0.244746977435721
later_exploratory,1,7,MJ3,-0.152336640433207,-0.203914324728113
later_exploratory,1,7,MJ1,0.0067905699300545,0.0556204011009088
later_exploratory,2,1,ATU1,-0.00575660720379548,0.0189945162401575
later_exploratory,2,1,ATU5,-0.0200359457037277,-0.0218537699995007
later_exploratory,2,1,MJ3,0.0185375370209524,0.0352934190470174
later_exploratory,2,1,MJ1,0.0173185837481571,0.0403151131961149
later_exploratory,2,2,ATU1,-0.0195173908491537,0.0370985241632638
later_exploratory,2,2,ATU5,-0.0455875596330541,-0.0452898351547705
later_exploratory,2,2,MJ3,0.0380352842574629,0.0701770940945763
later_exploratory,2,2,MJ1,0.0139633121297237,0.0394150335957029
later_exploratory,2,3,ATU1,-0.0398498235131879,0.0513944338849845
later_exploratory,2,3,ATU5,-0.0733154348544053,-0.0648414856756893
later_exploratory,2,3,MJ3,0.0532150586553915,0.100006258449919
later_exploratory,2,3,MJ1,-0.00771500422974442,0.00821177761438405
later_exploratory,2,4,ATU1,-0.0618992941743745,0.0637920992362458
later_exploratory,2,4,ATU5,-0.100496425609297,-0.0786095643883722
later_exploratory,2,4,MJ3,0.0643564566512176,0.124978813604314
later_exploratory,2,4,MJ1,-0.0307260222977263,-0.0193127024912893
later_exploratory,2,5,ATU1,-0.0846581972541448,0.0774808732765292
later_exploratory,2,5,ATU5,-0.131707567194,-0.0948327625736485
later_exploratory,2,5,MJ3,0.0743382046182928,0.147949969778596
