phase,model,seed,horizon,point,n,mae,rmse
inner,TCN_BRES,0,6,ATU1,175,3.06189393677147,3.32054439013805
inner,TCN_BRES,0,6,ATU5,175,3.01451189992054,3.92255277711281
inner,TCN_BRES,0,6,MJ3,175,3.03499177814729,3.20813034163549
inner,TCN_BRES,0,6,MJ1,175,1.23172921569789,1.37723582230948
inner,TCN_BRES,0,7,ATU1,174,3.55794133591502,3.86686928748731
inner,TCN_BRES,0,7,ATU5,174,3.66195118624053,4.75305479754043
inner,TCN_BRES,0,7,MJ3,174,3.60369406721579,3.80587219556408
inner,TCN_BRES,0,7,MJ1,174,1.42814487231844,1.59519640808566
inner,TCN_BRES,1,1,ATU1,180,0.247868467585858,0.286317193079248
inner,TCN_BRES,1,1,ATU5,180,0.401995846241933,0.48528522015997
inner,TCN_BRES,1,1,MJ3,180,0.385772697372873,0.40491261203655
inner,TCN_BRES,1,1,MJ1,180,0.187659554674664,0.200526817977627
inner,TCN_BRES,1,2,ATU1,179,0.498357800301861,0.579289868229319
inner,TCN_BRES,1,2,ATU5,179,0.847520038793662,1.03366245458935
inner,TCN_BRES,1,2,MJ3,179,0.772702957765629,0.809550269139909
inner,TCN_BRES,1,2,MJ1,179,0.370768407665873,0.39338329128591
inner,TCN_BRES,1,3,ATU1,178,0.727142512263224,0.859518269784828
inner,TCN_BRES,1,3,ATU5,178,1.34770572277499,1.65263606286102
inner,TCN_BRES,1,3,MJ3,178,1.18222078095478,1.23896417656853
inner,TCN_BRES,1,3,MJ1,178,0.558928810932165,0.591339527161867
inner,TCN_BRES,1,4,ATU1,177,0.966488258970184,1.13679883390048
inner,TCN_BRES,1,4,ATU5,177,1.90024979747955,2.3399746271095
inner,TCN_BRES,1,4,MJ3,177,1.61804319215589,1.69812957010688
inner,TCN_BRES,1,4,MJ1,177,0.751167423894803,0.793300798474458
inner,TCN_BRES,1,5,ATU1,176,1.24521806898258,1.43169129241028
inner,TCN_BRES,1,5,ATU5,176,2.50211063618422,3.09241652127505
inner,TCN_BRES,1,5,MJ3,176,2.07765502733748,2.18442795335087
inner,TCN_BRES,1,5,MJ1,176,0.946301007770892,0.998259482172769
inner,TCN_BRES,1,6,ATU1,175,1.57444262852692,1.77077655989851
inner,TCN_BRES,1,6,ATU5,175,3.15196712763514,3.91053007754342
inner,TCN_BRES,1,6,MJ3,175,2.55950459381802,2.69622516453896
inner,TCN_BRES,1,6,MJ1,175,1.14325373149531,1.20585644690502
inner,TCN_BRES,1,7,ATU1,174,1.9651307861663,2.18322517631931
inner,TCN_BRES,1,7,ATU5,174,3.85479046876677,4.79843633377475
inner,TCN_BRES,1,7,MJ3,174,3.06368664605048,3.23337855664356
inner,TCN_BRES,1,7,MJ1,174,1.34121006809935,1.41572278862328
inner,TCN_BRES,2,1,ATU1,180,0.312870920699188,0.362773196441775
inner,TCN_BRES,2,1,ATU5,180,0.52653927687311,0.689628877013644
inner,TCN_BRES,2,1,MJ3,180,0.41935433335563,0.449393837283181
inner,TCN_BRES,2,1,MJ1,180,0.16834972096959,0.180209645170176
inner,TCN_BRES,2,2,ATU1,179,0.633058109874039,0.734042493247161
inner,TCN_BRES,2,2,ATU5,179,1.07768626455159,1.40897436273071
inner,TCN_BRES,2,2,MJ3,179,0.856798379788133,0.919104852313408
