phase,model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse
development,TCN_BRES,5,372,0.584372619949201,0.783905975324003,0.473369181927336,0.796370967741935,2.67391843326457,3.54930089824856,0.890456989247312,3.4319371544434,4.56255170175263,0.922043010752688,4.08940534871824,5.70731283907631,0.909253117787969
development,TCN_BRES,6,371,0.766171929044019,1.06840670385497,0.62687119132893,0.787061994609164,3.48686656600484,4.7678239112967,0.894878706199461,4.47534478673248,6.24363695564224,0.91711590296496,5.33270222752383,8.02656199038915,1.2539593433472
development,TCN_BRES,7,370,0.972443819054285,1.39795234236168,0.80127184511275,0.779054054054054,4.39316861228735,6.15428707346889,0.890540540540541,5.63857086988103,8.17738521595517,0.910810810810811,6.71877159654982,10.7014923309311,1.66065335832893
later_exploratory,B_ANCHOR,1,293,0.186802790802816,0.298429938169496,0.143019386343396,0.722696245733788,0.518740778800795,0.999057084736524,0.811433447098976,0.665796581580021,1.26083644370937,0.869453924914676,0.793345559474048,1.52552594495244,0.310609796170727
later_exploratory,B_ANCHOR,2,292,0.354472639016542,0.562356187807008,0.272489413236718,0.714041095890411,0.981211012866592,1.90560484318451,0.8125,1.25937070088357,2.42533659028811,0.863013698630137,1.50063274717732,3.00142844039345,0.593184349027186
later_exploratory,B_ANCHOR,3,291,0.51143659120686,0.80892247877238,0.396035897642927,0.70446735395189,1.42001868170012,2.79425709151947,0.803264604810997,1.82257424650776,3.59260268456529,0.862542955326461,2.17173116426537,4.54996392272758,0.86583344761584
later_exploratory,B_ANCHOR,4,290,0.664981871841715,1.05225135602225,0.519952308561874,0.703448275862069,1.85952327015012,3.71677495240946,0.798275862068966,2.38667227877584,4.87061744267541,0.845689655172414,2.84389542792965,6.26123093512697,1.13797891961093
later_exploratory,B_ANCHOR,5,289,0.816516765892907,1.2954041145249,0.645730803611316,0.705017301038062,2.30619967285069,4.68205208454508,0.799307958477509,2.9599752349807,6.23876216555314,0.839965397923875,3.52702803497774,8.18896808960841,1.41025194840004
later_exploratory,B_ANCHOR,6,288,0.96718305499757,1.5393807797898,0.773839703056163,0.703993055555556,2.7606688138146,5.68897930615069,0.794270833333333,3.54328006246482,7.69732777565171,0.835069444444444,4.22207860673962,10.2858566791845,1.68250246246073
later_exploratory,B_ANCHOR,7,287,1.11719384989141,1.78416245875774,0.904383370802034,0.700348432055749,3.22418974417906,6.7375241845528,0.786585365853659,4.13820273586806,9.24604306296743,0.828397212543554,4.93097269576425,12.5534152482773,1.95429358904583
later_exploratory,DRIFT1,1,293,0.0058614504336814,0.0100916533884798,0.0044084105457141,0.679180887372014,0.0129413664814105,0.0306385529600499,0.773890784982935,0.0166100640559141,0.0412175065075206,0.82679180887372,0.0197921120743389,0.0550228556325163,0.0123602506142978
later_exploratory,DRIFT1,2,292,0.0175178169525736,0.0301954829648851,0.0132711245298007,0.67722602739726,0.0383625286988243,0.093404500794045,0.771404109589041,0.0492377725296368,0.127650482102125,0.82277397260274,0.0586704246844904,0.174304696400372,0.0369500863873711
later_exploratory,DRIFT1,3,291,0.0349017950942961,0.0602409031819953,0.0266360063637457,0.68127147766323,0.0757778162893919,0.18990789103376,0.769759450171821,0.0972597742589499,0.263066916031034,0.817010309278351,0.11589216910768,0.366458968516757,0.0736570216294152
later_exploratory,DRIFT1,4,290,0.0579756394619927,0.100163591712152,0.0445508654420066,0.675862068965517,0.124673963125389,0.321552623182238,0.766379310344828,0.160017299300845,0.450999536486394,0.812068965517241,0.1906723725407,0.639807171103154,0.122382842309634
later_exploratory,DRIFT1,5,289,0.0866769866558266,0.149902749195309,0.0670608467965423,0.672145328719723,0.184508319411871,0.489532685590039,0.763840830449827,0.236813864183732,0.694846145985154,0.810553633217993,0.28218112373933,1.0012049305204,0.183039546294077
later_exploratory,DRIFT1,6,288,0.120945666743802,0.209398220000513,0.0942056698260393,0.671006944444444,0.254708842114379,0.694904756866135,0.758680555555556,0.326915259621573,0.997013523477439,0.803819444444444,0.389543558378734,1.45737055882851,0.255545101452782
later_exploratory,DRIFT1,7,287,0.160806227680145,0.278587483000087,0.126016956939423,0.668118466898955,0.334675953541887,0.938505695569019,0.753484320557491,0.429551935979171,1.36011165850513,0.802264808362369,0.511842701510765,2.01416410390815,0.339819034681114
later_exploratory,RR_DIRECT,1,293,0.0002737962473748,0.0004199605924951,0.0002291100038567,0.82679180887372,0.0012714898619176,0.0017716785681887,0.88481228668942,0.0016319395701588,0.0023652846766365,0.914675767918089,0.001944575936753,0.0030557095662222,0.0005003223071596
later_exploratory,RR_DIRECT,2,292,0.0011117394593258,0.0016983384720363,0.0009312290202478,0.820205479452055,0.0050755960463227,0.0072170192702851,0.879280821917808,0.0065144569989946,0.0096885020883939,0.914383561643836,0.0077624542923814,0.0126094706160229,0.0020439290301035
later_exploratory,RR_DIRECT,3,291,0.0028470237821101,0.0042877609594596,0.0023789409684142,0.81786941580756,0.0128992371409945,0.0184716937118109,0.874570446735395,0.0165559916328958,0.0247715385778461,0.913230240549828,0.0197276808082703,0.0322377695357952,0.0051848423009046
later_exploratory,RR_DIRECT,4,290,0.0058447292310733,0.0086822360160835,0.0048718353394753,0.811206896551724,0.0263831468808278,0.0377503856513045,0.870689655172414,0.0338624024222427,0.0505502358912563,0.905172413793103,0.0403495411932804,0.0656016742244624,0.0105291383025965
