phase,model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse,role,limitation
later_exploratory,CL_BRES,6,288,0.587032798345181,0.787796064495003,0.443515578961583,0.782986111111111,2.04469679303962,3.1387137554606,0.844618055555556,2.62433992237999,4.00929959933387,0.886284722222222,3.12709389259667,4.96157810024974,0.802819623474065,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
later_exploratory,CL_BRES,7,287,0.680870234634466,0.914890448209932,0.518804115634098,0.776132404181185,2.39619996043605,3.70905010332751,0.843205574912892,3.07548935352384,4.75748216255139,0.883275261324042,3.66467159689763,5.94172905102186,0.935176141315057,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
later_exploratory,PINN_EQ,1,293,0.110356383280731,0.157370406686764,0.0859063018848053,0.76962457337884,0.391674859493114,0.610033377077502,0.862627986348123,0.502709239755931,0.772680254203092,0.907849829351536,0.599015005635034,0.961115927770024,0.1700053696218,historical_only_excluded_from_selection_and_gates,v4_physical_acceptance_failed
later_exploratory,PINN_EQ,2,292,0.228248766533052,0.34590692197316,0.180709237504457,0.757705479452055,0.770657392721943,1.33355510653879,0.821061643835616,0.989128055114177,1.70513249079503,0.870719178082192,1.17861877334033,2.06256307191625,0.361253188522587,historical_only_excluded_from_selection_and_gates,v4_physical_acceptance_failed
later_exploratory,PINN_EQ,3,291,0.378668446536608,0.569609979654359,0.295447504224381,0.743986254295533,1.19792349392572,2.14018937743927,0.808419243986254,1.53751815905806,2.74998003195668,0.860824742268041,1.83206588595681,3.35501012323743,0.5989607138522,historical_only_excluded_from_selection_and_gates,v4_physical_acceptance_failed
later_exploratory,PINN_EQ,4,290,0.530086302492636,0.79607708327304,0.413872247825914,0.74051724137931,1.63886683131362,2.98988429719119,0.800862068965517,2.10346280559622,3.87466262313904,0.862068965517241,2.50643052624025,4.84559276377313,0.847753180306624,historical_only_excluded_from_selection_and_gates,v4_physical_acceptance_failed
later_exploratory,PINN_EQ,5,289,0.685782960474805,1.02914369581784,0.538159930266618,0.734429065743945,2.10272371713399,3.90379498608687,0.801038062283737,2.69881667315895,5.12744873477524,0.849480968858132,3.21583841479641,6.51495799317876,1.10576427799557,historical_only_excluded_from_selection_and_gates,v4_physical_acceptance_failed
later_exploratory,PINN_EQ,6,288,0.848115828280954,1.27280210801334,0.670251914817678,0.717881944444444,2.59434935893425,4.89390125641804,0.805555555555556,3.32981135316923,6.51004699272339,0.84375,3.96771495079472,8.42446068291017,1.37430821475859,historical_only_excluded_from_selection_and_gates,v4_physical_acceptance_failed
later_exploratory,PINN_EQ,7,287,1.01668396980759,1.52754313416501,0.810066830853906,0.709059233449477,3.11167956154779,5.96201155136508,0.799651567944251,3.99379747981317,8.02114233657004,0.839721254355401,4.75890322015358,10.5626858573992,1.65278291538832,historical_only_excluded_from_selection_and_gates,v4_physical_acceptance_failed
later_exploratory,C16_CORE_RULES,1,293,7.61372556177609e-05,0.000208745332316,6.53458785313794e-05,0.920648464163823,0.0002949473260862,0.0005393805034277,0.94283276450512,0.0003785607946722,0.0008087211756613,0.948805460750853,0.0004510830090684,0.0012357630784518,0.0002548540757457,historical_only_excluded_from_selection_and_gates,frozen_online_feedback_historical_exposure
later_exploratory,C16_CORE_RULES,2,292,0.0003501052888909,0.0008992863481267,0.0002956877560787,0.916095890410959,0.0012541042825575,0.0023798188789229,0.939212328767123,0.0016096254206239,0.0035990874108446,0.945205479452055,0.0019179869876097,0.0055653474634085,0.0010982648869193,historical_only_excluded_from_selection_and_gates,frozen_online_feedback_historical_exposure
later_exploratory,C16_CORE_RULES,3,291,0.0009964010687288,0.0023990315675311,0.0008197733171855,0.899484536082474,0.0032861051492302,0.0063162103053645,0.935567010309278,0.0042176702979202,0.0094429592159158,0.945017182130584,0.0050256641363953,0.0145181692717927,0.0029348986203794,historical_only_excluded_from_selection_and_gates,frozen_online_feedback_historical_exposure
later_exploratory,C16_CORE_RULES,4,290,0.0022366648477086,0.0051432672338045,0.0018291693015387,0.853448275862069,0.0068960610306314,0.0139676838213577,0.924137931034483,0.0088509985106164,0.0205666297339031,0.937068965517241,0.010546615226902,0.0315308142638573,0.0063058323327361,historical_only_excluded_from_selection_and_gates,frozen_online_feedback_historical_exposure
later_exploratory,C16_CORE_RULES,5,289,0.0043401710792387,0.0096117858968333,0.0035413915520997,0.83477508650519,0.0126162780786115,0.0272027579057458,0.899653979238754,0.016192817608093,0.0396192740331566,0.930795847750865,0.019294932266353,0.0606654156983889,0.0118039441161783,historical_only_excluded_from_selection_and_gates,frozen_online_feedback_historical_exposure
later_exploratory,C16_CORE_RULES,6,288,0.0076010817575522,0.0162769354583289,0.0061848496321371,0.807291666666667,0.0209484627843168,0.0477738878693294,0.872395833333333,0.0268870609004318,0.0692066113250565,0.918402777777778,0.0320379091193985,0.104054455494764,0.0200071852510091,historical_only_excluded_from_selection_and_gates,frozen_online_feedback_historical_exposure
later_exploratory,C16_CORE_RULES,7,287,0.0122776340751834,0.0255796349180615,0.0099777354784114,0.786585365853659,0.0323367825237654,0.0768985325917726,0.858885017421603,0.0415038110429494,0.111616242646864,0.898954703832753,0.049454841167908,0.165294038658168,0.0314496385011844,historical_only_excluded_from_selection_and_gates,frozen_online_feedback_historical_exposure
