fold,scope,station,rows,point_metric_population,point_rmse_mm,point_mae_mm,persistence_rmse_mm,persistence_mae_mm,point_rmse_skill_vs_persistence,point_mae_skill_vs_persistence,active_point_rows,active_point_rmse_mm,active_point_mae_mm,active_persistence_rmse_mm,active_persistence_mae_mm,active_point_rmse_skill_vs_persistence,active_point_mae_skill_vs_persistence,interval_rows,empirical_coverage,coverage_gap,mean_interval_width_mm,mean_interval_score_80_mm,abstention_rows,abstention_rate,drift_count,anomaly_rows,mean_anomaly_score,p95_anomaly_score,maximum_anomaly_score,artifact_status,formal_warning_output,independent_label_used,confirmatory_external_validation,vajont_used
2,station,ATU2,287,all_shadow_and_active_rows,0.10947732835587287,0.056375691317589328,0.073352118783066869,0.047890069686411053,-0.49249033527775077,-0.17718958620739067,171,0.092563521730695722,0.066794329400838459,0.092677061571461508,0.066982923976608044,0.0012251126529106982,0.0028155620055559938,171,0.64912280701754388,-0.15087719298245617,0.21985385981263905,0.323853243545839,116,0.40418118466898956,1,171,0.8210668716016809,2.2576785748691846,2.2576785748691846,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
2,station,ATU3,287,all_shadow_and_active_rows,0.14090742357104172,0.09676806810110633,0.14531029645708476,0.10845602787456456,0.030299799762251278,0.10776680653449711,227,0.15494196951521946,0.1083786962380609,0.15302575859440112,0.10919281938326011,-0.012522146195643513,0.0074558304272892562,227,0.75770925110132159,-0.042290748898678454,0.4421754658131305,0.64021217795344765,60,0.20905923344947736,0,227,0.48002400089904418,2.2576785748691846,2.2576785748691846,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
2,station,ATU4,287,all_shadow_and_active_rows,0.059558353078680015,0.042104121792612359,0.069269754671105438,0.051000487804878203,0.1401968527033971,0.17443688080596953,167,0.072077840462357545,0.054512507560130478,0.084098929607206246,0.063392395209580385,0.14293985905640638,0.14007812167519906,167,0.71257485029940115,-0.087425149700598892,0.16885633134174446,0.25586501990586497,120,0.41811846689895471,1,167,0.57103297976528977,1.9731278535996988,2.0086001717619175,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
2,station,ATU5,287,all_shadow_and_active_rows,0.19282422255505854,0.12124344051605987,0.166818708780996,0.14921010123803463,-0.15589087077878827,0.18743141710868216,167,0.14300013491208979,0.10661599488019387,0.16860887079937772,0.15094928933925003,0.15188249447301583,0.29369660932566288,167,0.81437125748502992,0.014371257485029876,0.24030816867193225,0.55679257559239492,120,0.41811846689895471,1,167,0.33382132091903177,1.5118833609788744,1.8633228601204559,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
2,station,MJ1,287,all_shadow_and_active_rows,0.19128791157682862,0.13846006771474492,0.15986104720255859,0.13325396351504229,-0.19658863071533195,-0.039069038266279721,227,0.21425241655372715,0.16672401661360614,0.17680931880008699,0.15311846341458654,-0.21177106505328469,-0.088856385413044192,227,0.70925110132158586,-0.09074889867841418,0.43221051216244327,0.63452562228917586,60,0.20905923344947736,0,227,0.25585435653119615,1.7923916894982539,1.8633228601204559,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
2,station,MJ3,287,all_shadow_and_active_rows,0.1187358956288337,0.084770137539655274,0.12872194942682458,0.11734578965108389,0.077578484807423687,0.27760392774456666,224,0.13318506806467378,0.10084470515643927,0.14221919927277579,0.1372524593698746,0.06352258523671328,0.26526121557736126,224,0.7723214285714286,-0.027678571428571441,0.29024211184091492,0.49153199920477925,63,0.21951219512195122,1,224,0.39625542625124449,1.8450980400142569,1.9084850188786497,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
2,station,MJ9,287,all_shadow_and_active_rows,0.060739802174558349,0.043261781257762283,0.075558049486208145,0.063418641114982521,0.19611738805346768,0.31783809149543918,107,0.08385602585872548,0.072581558154796832,0.078527919643597871,0.069052803738317611,-0.067849832764059315,-0.051102261247085279,107,0.44859813084112149,-0.35140186915887855,0.16539154569429088,0.34032461558888583,180,0.62717770034843201,2,107,0.34547266725599768,1.8633228601204559,1.8920946026904804,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
2,overall,__overall__,2296,all_shadow_and_active_rows,0.13038279179231635,0.080351750294713226,0.12001248409509184,0.092645610828964234,-0.086410241196304138,0.1326977114646809,1397,0.14250405719177278,0.10112239351058429,0.13764808197471848,0.1103127648517645,-0.035278190203523518,0.083311948109813017,1397,0.69506084466714391,-0.10493915533285614,0.28711557702702811,0.48923189508077508,899,0.3915505226480836,8,1397,0.42789032533740556,1.8692317197309762,2.2576785748691846,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
3,station,ATU1,287,all_shadow_and_active_rows,0.47691650969339933,0.24764759588554536,0.47749918246494477,0.24859677197721819,0.0012202592024086467,0.0038181352240559407,227,0.53612035019784421,0.30810639902541115,0.53609721947661371,0.30112320645674312,-4.314650475722992e-05,-0.023190482895150577,227,0.64757709251101325,-0.15242290748898679,0.69711772932876503,1.1792296310594788,60,0.20905923344947736,0,227,0.75024093292820893,2.2576785748691846,2.2576785748691846,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
3,station,ATU2,287,all_shadow_and_active_rows,0.30282978316899067,0.13552259415911314,0.32222586735013548,0.15633909407665492,0.060194063067161241,0.13314967724793902,227,0.34012379408973731,0.1640105640825395,0.36150556672129497,0.18644374449339174,0.059146454715708674,0.12032144318817495,227,0.57268722466960353,-0.22731277533039651,0.3305385476709462,0.46975971417886275,60,0.20905923344947736,0,227,0.90211173154532631,2.2576785748691846,2.2576785748691846,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
3,station,ATU3,287,all_shadow_and_active_rows,0.48297409637529554,0.2127220257547448,0.49350667846216528,0.24445696864111521,0.021342329387903591,0.12981811507676899,98,0.072874553608615472,0.042505736520183746,0.095160075458274429,0.072312653061224377,0.23418982953024936,0.41219503474453145,98,0.69387755102040816,-0.10612244897959189,0.060876395351089962,0.30877934485288838,189,0.65853658536585369,3,98,0.67640248313464002,2.173186268412274,2.1846914308175989,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
3,station,ATU4,287,all_shadow_and_active_rows,0.30470820231859558,0.14446089945265225,0.30687584774225235,0.1492666202090592,0.0070635908286839078,0.032195548808408581,167,0.39320175546279967,0.19744225530045179,0.39310395407066046,0.19661383233532947,-0.00024879269497657397,-0.0042134521019325799,167,0.65269461077844315,-0.14730538922155689,0.36121735224935425,1.0171695982907489,120,0.41811846689895471,1,167,0.61296954324517372,2.0334237554869499,2.0644579892269186,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
3,station,ATU5,287,all_shadow_and_active_rows,0.36638328251124158,0.18596800530665897,0.39740596796319644,0.22082078872400371,0.078062958165811547,0.15783289072889795,227,0.41165664718910505,0.22862673974070491,0.44449042171997555,0.25709476710868695,0.073868351097012952,0.11072970363471912,227,0.6035242290748899,-0.19647577092511015,0.47193344079042387,0.69524565486734391,60,0.20905923344947736,0,227,1.1268532810155396,2.2576785748691846,2.2576785748691846,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
3,station,MJ1,287,all_shadow_and_active_rows,0.1513206972516099,0.11657272794730113,0.18321149396116104,0.14917262968946765,0.17406548039126657,0.21853809113662248,107,0.15045167462964718,0.12828316443766818,0.18224058212257591,0.16252777130455873,0.17443374643934884,0.21070003355131228,107,0.57009345794392519,-0.22990654205607486,0.3113766525741008,0.49161161450243002,180,0.62717770034843201,2,107,0.95043836248922731,1.9444826721501687,1.9590413923210936,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
3,station,MJ3,287,all_shadow_and_active_rows,0.20151001499374913,0.14396689509998989,0.2228104696269016,0.18201727868135892,0.095598984503826534,0.20904819507811878,167,0.19371558130206565,0.12631432155146427,0.21479147129621715,0.17079433602394672,0.098122564489936948,0.26043026664681668,167,0.61676646706586824,-0.1832335329341318,0.27842382881348504,0.39664224627739586,120,0.41811846689895471,1,167,0.60166267417094421,1.9822712330395684,2.2329961103921541,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
3,station,MJ9,287,all_shadow_and_active_rows,0.11420042220078847,0.084873766238520582,0.12459354735642256,0.093590627177700461,0.083416239252765312,0.09313818276513075,107,0.098100906992108688,0.071117341247824775,0.096726964641639671,0.069191682242991021,-0.014204336459427758,-0.027830787493663189,107,0.76635514018691586,-0.033644859813084182,0.25432407504261723,0.43027826560188542,180,0.62717770034843201,2,107,0.50129516170866606,1.9542425094393248,1.9777236052888478,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
3,overall,__overall__,2296,all_shadow_and_active_rows,0.32711790435868088,0.15896681373056576,0.34026141030996043,0.18053259739707228,0.038627671410949915,0.11945645261544469,1327,0.35372063631773309,0.17983239274170351,0.36697488234592057,0.19764581435187603,0.036117583697986344,0.090127998250742802,1327,0.63074604370761111,-0.16925395629238893,0.38713097797682777,0.6760742396636138,969,0.42203832752613241,9,1327,0.79528731000066399,2.2576785748691846,2.2576785748691846,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
