fold,date,issue_batch_sha256,outcome_phase,available_station_score_count,abstained_station_score_count,block_o1_available_station_count,block_o1_expected_station_count,block_o1_contributor_station,block_o1_max_anomaly_score,block_o2_available_station_count,block_o2_expected_station_count,block_o2_contributor_station,block_o2_max_anomaly_score,block_o3_available_station_count,block_o3_expected_station_count,block_o3_contributor_station,block_o3_max_anomaly_score,cross_block_min_of_block_max_anomaly_score,site_score_status,artifact_status,formal_warning_output,independent_label_used,confirmatory_external_validation,vajont_used
1,2018-04-14,d6d5f0936ddf22bbd7dfdd9ec562e654d9fcb320adbcc4a8956a232c366fed60,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-15,70e1b54db88f114bb5278b09414defb080296490bf311c58d3ed142c1f3e6f71,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-16,37f6651cacc8827bcdf197552091f033ed7fcb52f7a4ed48aeab21243a62ecb9,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-17,c06da5833f605ac22c8e7d069a2e32c505964e4f96f245cc876a06217662c028,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-18,d3b8d345c9e4f4a1ba3a35c9bf4b8f4d25af010b6993d6b99e9a91c58539fce6,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-19,6f2acb00c377634f28bdac36e99f5181d903e7c721a026fc50ac6d42c2d0948e,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-20,a6d9f8041c5a0a62266737fd7a7d8fafc1e8d09e611ac570b7706b723fca5bba,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-21,270e6e813c855eb991e21354daf245939b0d6c9107374e19562750233119c4d1,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-22,34b02dd95edab1082cd3b6b03529cc14c0a62c8ef6aa5e072a0c2d968a2dbe22,after_all_same_date_station_outcomes_revealed,7,1,3,3,MJ3,1.7853298350107669,3,3,ATU4,1.7853298350107669,1,2,ATU2,1.0071785846271235,1.0071785846271235,available_subset_all_blocks,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-23,0c8cd9218708f503006c51d7b9cf3eec24ec9d99d65e78da2c3b9b3811a017ae,after_all_same_date_station_outcomes_revealed,7,1,3,3,MJ3,1.4913616938342726,3,3,ATU4,1.7923916894982539,1,2,ATU2,1.4913616938342726,1.4913616938342726,available_subset_all_blocks,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-24,15d470169f342d2dc29a54e4a278740509b8c02b837e20f13865fb7e05d6823a,after_all_same_date_station_outcomes_revealed,6,2,3,3,MJ3,1.1972805581256194,2,3,ATU4,1.7993405494535817,1,2,ATU2,1.7993405494535817,1.1972805581256194,available_subset_all_blocks,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-25,2faa9e9e92d9889e8ae1e0b9db182b17dd48c5731f7ab181de9803f40b1e2ec3,after_all_same_date_station_outcomes_revealed,6,2,3,3,MJ3,1.0280287236002434,2,3,ATU4,1.8061799739838871,1,2,ATU2,1.505149978319906,1.0280287236002434,available_subset_all_blocks,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-26,fe1e4c82c1e30014a364d52c33fe948a07310592dc8ab9c3772759ef354ce6af,after_all_same_date_station_outcomes_revealed,6,2,3,3,MJ3,0.90982336965091193,2,3,ATU4,1.8129133566428555,1,2,ATU2,1.8129133566428555,0.90982336965091193,available_subset_all_blocks,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-27,4a751e732c285ac27a9fbb4230b4de976ed2c4327dd43502f12f387e0f022988,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ3,0.81954393554186866,2,3,ATU4,1.8195439355418686,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-28,eaf5d2ccc59348fa5c3557ce6c554404771ad1bbdfee0059a4eada2f5035ac62,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ3,0.74689355665320167,2,3,ATU4,1.8260748027008264,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-29,3a5c22efd703b6e5743ef1e27aae1bd52afa902ab8db7568f0668b29abc205a8,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ3,0.68638087702799833,2,3,ATU4,1.8325089127062364,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-30,d5996a0060df78a6ff3962de8d6b307163cd40b65b598ad86ff74c7b9f9e5181,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ3,0.63472910808133054,2,3,ATU4,1.8388490907372552,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-01,2194be5df7c530dfb789a95502c0e3fd1da3596008f8709c2b7b3512fd68311f,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ3,0.5898255349109508,2,3,ATU4,1.8450980400142569,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-02,e177da2f55d1b3eb08af1aee1739e4e24433dcea844b0790af6bac954445e0a0,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ3,0.5502283530550941,2,3,ATU4,1.8512583487190752,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-03,f2c819ebf6e734b8216fe84630f4046c4173c9665cfbf8ae1e39f86f4d09b1ef,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ3,0.51490981560906224,2,3,ATU4,1.8573324964312685,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-04,5bc362600e151d80d0c01970c2ec214474bc3bd2da435d7b766d5ec9ffdaa117,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ3,0.50159502410286305,2,3,ATU4,1.8633228601204559,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-05-05,073a204a31fba49d6cf773b10dba7c9c1b134744405cfb72acbdded80ced1950,after_all_same_date_station_outcomes_revealed,5,3,3,3,MJ9,0.63878279835270224,2,3,ATU4,1.8692317197309762,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
