origin,phase,method,seed,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
612,historical_exploratory,A0,1,293,29.431282942901532,34.94954821347779,34.552636701589471,0.72866894197952214,172.33652776154906,316.06415074895239,0.77901023890784982,221.19153873012218,472.09108954613492,0.81655290102389078,263.56597480319522,715.0528938617291
612,historical_exploratory,A0,2,293,29.431282942901532,34.94954821347779,34.552636701589471,0.72866894197952214,172.33652776154906,316.06415074895239,0.77901023890784982,221.19153873012218,472.09108954613492,0.81655290102389078,263.56597480319522,715.0528938617291
612,historical_exploratory,A025,0,293,29.452629207439095,34.890809144246077,34.9158965457842,0.72440273037542668,172.10298894186474,320.42325298161961,0.77474402730375425,220.89179490012768,480.43415748940384,0.81313993174061427,263.20880800017341,730.37506451344018
612,historical_exploratory,A025,1,293,29.273385134291598,34.632436619182805,34.81823415338512,0.72440273037542668,172.10298894186474,319.58628543693976,0.77559726962457343,220.89179490012768,478.81743149027989,0.81399317406143346,263.20880800017341,727.04247994354557
612,historical_exploratory,A025,2,293,29.929178468047514,35.224175832267989,34.824298733405953,0.72610921501706494,172.10298894186474,319.14008327303912,0.77730375426621157,220.89179490012768,478.58610346638022,0.81484641638225253,263.20880800017341,728.30902899721764
612,historical_exploratory,A05,0,293,29.658688000104164,34.99269274535488,35.306597217851817,0.71928327645051193,171.87330118653509,324.86715872800499,0.77133105802047774,220.59699385772097,489.00375075726794,0.81143344709897613,262.85753089183089,746.08786169268922
612,historical_exploratory,A05,1,293,29.354708100839584,34.52856406324598,35.107080624052223,0.72013651877133111,171.87330118653509,323.18405005631649,0.77133105802047774,220.59699385772097,485.70663200374184,0.8122866894197952,262.85753089183089,739.23943743492043
612,historical_exploratory,A05,2,293,30.57242135396103,35.696576511914643,35.153287068191176,0.72354948805460761,171.87330118653509,322.27771456078079,0.77474402730375425,220.59699385772097,485.17300525959553,0.8122866894197952,262.85753089183089,741.77236146963685
612,historical_exploratory,A075,0,293,30.179117741894316,35.281046443656045,35.724143470517603,0.71587030716723554,171.64769317275437,329.35534291480667,0.76877133105802054,220.3074291069037,497.68480700084586,0.78156996587030725,262.51249320975705,762.79008741760367
612,historical_exploratory,A075,1,293,29.670621149841324,34.708507405068111,35.418890890208452,0.71501706484641636,171.64769317275437,326.82393696347344,0.76791808873720135,220.3074291069037,492.74051003767363,0.78156996587030714,262.51249320975705,753.11779634437517
612,historical_exploratory,A075,2,293,31.269207481611566,36.314102679267926,35.537016901516083,0.71843003412969275,171.64769317275437,325.47582784054106,0.7696245733788396,220.3074291069037,491.92334415752271,0.81058020477815695,262.51249320975705,755.43028323055876
612,historical_exploratory,A1,0,293,30.947588881219403,35.763570875837516,36.167937954734782,0.70563139931740615,171.4264233952033,333.9696421307263,0.76194539249146764,220.02343242200641,506.59704002014161,0.7764505119453925,262.1740902874501,781.65483383774313
612,historical_exploratory,A1,1,293,30.234466843656364,35.179020724721966,35.753354923663267,0.70733788395904429,171.4264233952033,330.57827372704332,0.75511945392491464,220.02343242200638,500.07456458626956,0.77730375426621168,262.1740902874501,768.55359311804114
612,historical_exploratory,A1,2,293,32.028721600040299,37.070982043811654,35.972800774176768,0.71501706484641636,171.4264233952033,328.76753504568541,0.76450511945392485,220.02343242200641,498.86590518481842,0.80375426621160417,262.1740902874501,769.3468178427463
