phase,candidate,reference,metric,difference,lower,upper,n,replicates,block_length,seed
development,C4_RIDGE_DATA,DRIFT1,crps,-1.44090415325,-2.02020445556,-0.99567972226,347,2000,30,20260913
development,C4_RIDGE_DATA,DRIFT1,coverage90,-0.0878962536023,-0.163544668588,-0.0201729106628,347,2000,30,20260913
development,C4_RIDGE_DATA,DRIFT1,width90,-19.8876117711,-28.552305446,-13.4932726411,347,2000,30,20260913
development,C4_RIDGE_DATA,DRIFT1,interval_score90,-19.7310867559,-28.2536575971,-13.3715726644,347,2000,30,20260913
development,C4_RIDGE_DATA,DRIFT1,mae,-0.541046103502,-0.748712351699,-0.350654440313,347,2000,30,20260913
development,C4_RIDGE_DATA,DRIFT1,rmse,-0.725755287034,-0.957307123042,-0.465272502734,347,2000,30,20260913
development,C4_RIDGE_DATA,DRIFT1,pooled_rmse,-0.73851156179,-0.990229238176,-0.481369543801,347,2000,30,20260913
transfer,C4_RIDGE_FULL,B_ANCHOR,crps,-2.62243683353,-3.91068390168,-1.59780914388,264,2000,30,20260913
transfer,C4_RIDGE_FULL,B_ANCHOR,coverage90,-0.0785984848485,-0.260464015152,0.0795454545455,264,2000,30,20260913
transfer,C4_RIDGE_FULL,B_ANCHOR,width90,-23.5785900834,-33.7532927568,-15.1757614788,264,2000,30,20260913
transfer,C4_RIDGE_FULL,B_ANCHOR,interval_score90,-29.7921466987,-49.4695403238,-14.5887844263,264,2000,30,20260913
transfer,C4_RIDGE_FULL,B_ANCHOR,mae,-2.52148921207,-3.92990878661,-1.37537900159,264,2000,30,20260913
transfer,C4_RIDGE_FULL,B_ANCHOR,rmse,-3.75210905146,-5.56478609217,-1.75763776745,264,2000,30,20260913
transfer,C4_RIDGE_FULL,B_ANCHOR,pooled_rmse,-3.76080008984,-5.91848268383,-1.61455353551,264,2000,30,20260913
transfer,C4_RIDGE_FULL,DRIFT1,crps,-1.76369003056,-2.79516720604,-0.97803656509,264,2000,30,20260913
transfer,C4_RIDGE_FULL,DRIFT1,coverage90,-0.0804924242424,-0.19696969697,0.0123106060606,264,2000,30,20260913
transfer,C4_RIDGE_FULL,DRIFT1,width90,-16.1078253488,-24.0453161004,-9.45179286089,264,2000,30,20260913
transfer,C4_RIDGE_FULL,DRIFT1,interval_score90,-23.2756206958,-40.0023288172,-10.541167564,264,2000,30,20260913
transfer,C4_RIDGE_FULL,DRIFT1,mae,-1.27500448111,-2.32152163273,-0.527402162214,264,2000,30,20260913
transfer,C4_RIDGE_FULL,DRIFT1,rmse,-2.30780503297,-3.61805901762,-0.752441323002,264,2000,30,20260913
transfer,C4_RIDGE_FULL,DRIFT1,pooled_rmse,-2.78176157673,-4.55357219936,-0.872139121199,264,2000,30,20260913
transfer,C4_RIDGE_FULL,C4_RIDGE_DATA,crps,0.00672910106314,-0.0150511163317,0.03637198496,264,2000,30,20260913
transfer,C4_RIDGE_FULL,C4_RIDGE_DATA,coverage90,-0.00473484848485,-0.0350378787879,0.0208333333333,264,2000,30,20260913
transfer,C4_RIDGE_FULL,C4_RIDGE_DATA,width90,-0.451227965213,-0.925900455742,-0.0209806578702,264,2000,30,20260913
transfer,C4_RIDGE_FULL,C4_RIDGE_DATA,interval_score90,0.156627312574,-0.292017153748,0.804204603302,264,2000,30,20260913
transfer,C4_RIDGE_FULL,C4_RIDGE_DATA,mae,0.0172075874215,-0.0025219745723,0.0422747047706,264,2000,30,20260913
transfer,C4_RIDGE_FULL,C4_RIDGE_DATA,rmse,0.0233942891558,-0.00293155941418,0.0496867199559,264,2000,30,20260913
transfer,C4_RIDGE_FULL,C4_RIDGE_DATA,pooled_rmse,0.0264382955656,-0.00270855272334,0.053665190647,264,2000,30,20260913
transfer,C4_RIDGE_DATA,B_ANCHOR,crps,-2.62916593459,-3.9230090663,-1.59485859366,264,2000,30,20260913
transfer,C4_RIDGE_DATA,B_ANCHOR,coverage90,-0.0738636363636,-0.261410984848,0.100378787879,264,2000,30,20260913
transfer,C4_RIDGE_DATA,B_ANCHOR,width90,-23.1273621182,-33.5227803095,-14.4565983164,264,2000,30,20260913
transfer,C4_RIDGE_DATA,B_ANCHOR,interval_score90,-29.9487740113,-50.1117298575,-14.6160792211,264,2000,30,20260913
transfer,C4_RIDGE_DATA,B_ANCHOR,mae,-2.53869679949,-3.95584650519,-1.37268846723,264,2000,30,20260913
transfer,C4_RIDGE_DATA,B_ANCHOR,rmse,-3.77550334062,-5.60399460325,-1.7606013128,264,2000,30,20260913
transfer,C4_RIDGE_DATA,B_ANCHOR,pooled_rmse,-3.78723838541,-5.97236579556,-1.62242570783,264,2000,30,20260913
transfer,C4_RIDGE_DATA,DRIFT1,crps,-1.77041913162,-2.81174392872,-0.968732077195,264,2000,30,20260913
transfer,C4_RIDGE_DATA,DRIFT1,coverage90,-0.0757575757576,-0.196993371212,0.030303030303,264,2000,30,20260913
transfer,C4_RIDGE_DATA,DRIFT1,width90,-15.6565973836,-23.8774902985,-8.64772594584,264,2000,30,20260913
transfer,C4_RIDGE_DATA,DRIFT1,interval_score90,-23.4322480083,-40.483906216,-10.3863191548,264,2000,30,20260913
transfer,C4_RIDGE_DATA,DRIFT1,mae,-1.29221206853,-2.3520310893,-0.531089589458,264,2000,30,20260913
transfer,C4_RIDGE_DATA,DRIFT1,rmse,-2.33119932213,-3.66306190055,-0.760020721694,264,2000,30,20260913
transfer,C4_RIDGE_DATA,DRIFT1,pooled_rmse,-2.8081998723,-4.60526763647,-0.884952880647,264,2000,30,20260913
