prefix,part,start_index,end_index_exclusive,seed,domain,days,mean,lower_fraction,upper_fraction,baseline_rate_sum_mm,weighted_mean,weighted_lower_fraction,weighted_upper_fraction,min,q05,median,q95,max
342,forward,342,432,0,O1_up,90,0.944813056290401,0.0,0.0,5.4404513885216215,0.9472945833136114,0.0,0.0,0.790603070669322,0.8075489209374771,0.8892953545104463,1.1310067226838076,1.1395862198254025
342,forward,342,432,0,O1_down,90,1.0573558552304534,0.0,0.0,46.26374959204697,1.0412624614552926,0.0,0.0,0.7207532290155725,0.7502038028386697,1.0978607402010307,1.3761357251966888,1.393099864650869
342,forward,342,432,1,O3,90,1.2697289352692798,0.0,0.0,30.527869449962154,1.1991107427067564,0.0,0.0,0.5373614679374976,0.556884171548189,1.3992976516803375,1.7353477950393768,1.8035385397690007
342,forward,342,432,1,O2,90,1.3078185090537144,0.0,0.0,35.02595951109275,1.2325999069709859,0.0,0.0,0.5256335454638481,0.5421996548661305,1.4647287000265212,1.7960772344708669,1.8535502058206863
342,forward,342,432,1,O1_up,90,0.9442544379447652,0.0,0.0,5.4404513885216215,0.9457933004259889,0.0,0.0,0.7816060202172392,0.8025228517208336,0.9010955379556314,1.1645781901428416,1.1958601164448606
342,forward,342,432,1,O1_down,90,1.0287533705757412,0.0,0.0,46.26374959204697,1.0140768140747243,0.0,0.0,0.677814161085649,0.7294748279144143,1.0516420962222832,1.3638229333377239,1.4219486314607293
342,forward,342,432,2,O3,90,1.345424790936518,0.0,0.0,30.527869449962154,1.266902335531593,0.0,0.0,0.608533480907286,0.6794000772919258,1.4391261385987626,1.7138695933887318,1.7775958784787493
342,forward,342,432,2,O2,90,1.3989079429526525,0.0,0.0,35.02595951109275,1.3172078802736569,0.0,0.0,0.6005670775501567,0.6798261121202759,1.4968325367002664,1.7766218729731296,1.8250419758569092
342,forward,342,432,2,O1_up,90,0.927667236662044,0.0,0.0,5.4404513885216215,0.9308420302343722,0.0,0.0,0.8008614432440947,0.8163101242061662,0.8903042653754656,1.0922854159904039,1.1356202803361932
342,forward,342,432,2,O1_down,90,1.04774853529707,0.0,0.0,46.26374959204697,1.032336866341179,0.0,0.0,0.6975823550964491,0.7333973120563064,1.0713636978986223,1.3767348823701422,1.4232638314898518
432,train,30,432,0,O3,402,0.9615912419540437,0.0024875621890547263,0.0,82.9217701552383,0.9935534538233015,0.004678459498157914,0.0,0.5174380830253735,0.5221800652857076,0.7639082293801733,1.8136072449780674,1.8710172281498014
