prefix,part,start_index,end_index_exclusive,feature,days,mean_z,sd_z,min_z,max_z,training_min_z,training_max_z,outside_days,outside_fraction
432,train,30,432,moisture_O1_down,402,0.05144325091131211,0.9066616317346706,-2.222480828070406,1.5318231121233168,-2.8930209090842482,1.5318231121233168,0,0.0
432,train,30,432,reservoir_head,402,0.08033312311653752,0.9903136182721578,-1.3073149534696067,1.4009213157952378,-1.3073149534696067,1.4009213157952378,0,0.0
432,forward,432,612,rain_mm,180,0.16965854896190294,1.4846093173865484,-0.3642408893934369,8.688264136411224,-0.3642408893934369,8.625070384049584,1,0.005555555555555556
432,forward,432,612,rwl_m,180,1.1037849551945143,0.4687259259790569,-0.7711155371306597,1.5310657351455392,-1.4011756234323531,1.5139827662984424,1,0.005555555555555556
432,forward,432,612,rwl_daily_change_m,180,0.06557407407407422,0.4151046127257237,-0.43564814814815495,2.274351851851853,-4.1556481481481535,2.6943518518518688,0,0.0
432,forward,432,612,rain_head_O3,180,0.2154627811902279,1.6181593502159723,-0.43351141590250936,9.260684602824531,-0.4335116183756659,7.15137233398702,3,0.016666666666666666
432,forward,432,612,rain_head_O2,180,1.4453918899490408,2.5425068365672585,-0.869307198463481,7.84831222359631,-1.076258573669865,3.502511985812388,37,0.20555555555555555
432,forward,432,612,rain_head_O1_up,180,0.5026968308839634,2.021797284563465,-0.6281959262258057,8.882850205553245,-0.6411766688799504,4.973799515323739,9,0.05
432,forward,432,612,rain_head_O1_down,180,0.4335118399091693,1.9304490826518035,-0.5912809167138339,8.982025491986553,-0.5985307904750841,5.235628174575667,8,0.044444444444444446
432,forward,432,612,moisture_O3,180,-0.3119720778426045,1.160615170573328,-1.7272683422039103,2.0733572439009946,-1.6980399676976066,2.0729959919121876,4,0.022222222222222223
432,forward,432,612,moisture_O2,180,-0.26425652244710035,1.1517317551130213,-1.5540547611826654,2.1931409567185356,-1.5343964623057273,2.19269895663024,4,0.022222222222222223
432,forward,432,612,moisture_O1_up,180,-0.457243284908607,1.1228900445808274,-2.275093888662076,1.5319700128011062,-2.8930209090842482,1.5318231121233168,1,0.005555555555555556
