prefix,seed,station,sigma_mm,calibration_days,calibration_bias_mm,calibration_sd_mm,calibration_rms_mm,calibration_bias_squared_mm2,calibration_sd_squared_mm2,calibration_rms_over_sigma,prediction_days,prediction_bias_mm,prediction_sd_mm,prediction_rms_mm,prediction_bias_squared_mm2,prediction_sd_squared_mm2,prediction_rms_over_sigma,coverage_90,width_90_mm,interval_score_90_mm
432,2,MJ3,20.13348545641832,90,-13.495173860028169,14.941135134634868,20.13348545641832,182.11971751238758,223.23751911142048,1.0,180,-10.248756751104223,6.66993664415963,12.228044397220996,105.03701494330438,44.488054837103434,0.6073486095435522,1.0,66.23327324173695,66.23327324173695
432,2,MJ1,3.9131701715277307,90,2.7205869020487587,2.812704694726255,3.9131701715277316,7.4015930915992625,7.911307699735114,1.0000000000000002,180,3.5176573132088267,7.763111890540405,8.522899694248512,12.373912973171542,60.265906225049825,2.1780038487110076,0.6111111111111112,12.873184316409056,56.53990945324038
612,0,ATU1,64.16339871568817,180,-63.205695577027996,11.0445362678764,64.16339871568817,3994.9599533759365,121.98178137243714,1.0,180,-3.716407603486555,3.7291245280541547,5.2647939390813585,13.81168547525268,13.906369745735121,0.08205291559460515,1.0,211.07879823597276,211.07879823597276
612,0,ATU5,150.74700841600864,180,-145.27694816914024,40.240140121986556,150.74700841600864,21105.39166933906,1619.2688770371121,1.0,180,-4.363063720182424,6.2187414863820205,7.596648649294039,19.036325026372097,38.67274567444886,0.05039336255569308,1.0,495.9135271981656,495.9135271981656
612,0,MJ3,12.161142171385812,180,-10.010937591839577,6.904672870234456,12.161142171385816,100.21887146770678,47.674507444951715,1.0000000000000002,180,55.689631893856664,34.37304207110998,65.44341923903086,3101.335100473257,1181.5060212222966,5.381354671850968,0.2111111111111111,40.00659762565393,785.66891766488
612,0,MJ1,8.081311576847781,180,3.482047690604143,7.292663483423072,8.081311576847781,12.124656119641644,53.18294068245234,1.0,180,13.519974409412583,15.348638081277075,20.45410469761998,182.78970803117113,235.5806909500288,2.5310377533541857,0.5,26.58514932118753,172.69616644391382
612,1,ATU1,63.994761902672465,180,-63.04103111677135,11.007177054722252,63.99476190267246,3974.1716042657335,121.15794671400403,0.9999999999999999,180,-5.512733115802806,3.537983718419849,6.550385881600629,30.39022640606892,12.517328791803942,0.10235815693107658,1.0,210.5240324887993,210.5240324887993
612,1,ATU5,151.0058597665731,180,-145.54378280480205,40.24645289600746,151.00585976657308,21182.992713131393,1619.7769707105474,0.9999999999999998,180,-6.371914166100911,8.508214026404675,10.629722294550632,40.60129014015747,72.38970591910925,0.07039278019397525,1.0,496.765072363985,496.765072363985
612,1,MJ3,12.285492921919467,180,-10.261171034765313,6.7558645138743465,12.285492921919467,105.29163100470664,45.64170532982666,1.0,180,54.83410011774619,34.268177147740964,64.66132152030276,3006.7785357230127,1174.307965028956,5.263225654131928,0.2333333333333333,40.415675191802436,769.1946746581169
612,1,MJ1,8.262168239504911,180,3.5602436037212732,7.455742048920782,8.262168239504911,12.67533451783824,55.58808950004546,1.0,180,13.322253425301266,15.152161625594086,20.175986673669208,177.48243632795132,229.58800192812603,2.4419723841012226,0.5,27.180114796376913,166.55830820972764
612,2,ATU1,63.74533174489756,180,-62.78265923552843,11.036531093715974,63.74533174489755,3941.662300684483,121.80501858255951,0.9999999999999998,180,-1.9123170838007946,4.03534303531493,4.465529088659158,3.656956628996375,16.28399341266471,0.07005264489844933,1.0,209.70348028924636,209.70348028924636
612,2,ATU5,150.9240321370275,180,-145.45208537352585,40.27101112451813,150.92403213702752,21156.30913950745,1621.7543369910632,1.0000000000000002,180,-2.952799371121889,4.89389678917014,5.715702048668004,8.719024126097823,23.950225783049802,0.037871384482218065,1.0,496.49588341744095,496.49588341744095
612,2,MJ3,12.228044397220994,180,-10.248756751104223,6.66993664415963,12.228044397220996,105.03701494330438,44.488054837103434,1.0000000000000002,180,55.868739158943015,34.71947646076993,65.77809712145807,3121.3160152100127,1205.4420457099575,5.379281836464965,0.2166666666666666,40.22668636333325,788.4748759141913
612,2,MJ1,8.522899694248512,180,3.5176573132088267,7.763111890540405,8.522899694248512,12.373912973171542,60.265906225049825,1.0,180,13.959082130955272,15.220088202021543,20.65204732747023,194.85597393875477,231.65108487731536,2.423124531361879,0.5,28.037844954554487,169.94544001094556
