check,values,max_difference,tolerance
teacher/1032/state/bulk_reaction,5300,0,0
teacher/1032/prefix/bulk_reaction,4128,0,1e-08
teacher/1032/state/basal_reaction,5300,0,0
teacher/1032/prefix/basal_reaction,4128,0,1e-08
teacher/1032/state/rain_head,5300,0,0
teacher/1032/prefix/rain_head,4128,0,1e-08
teacher/1032/state/reservoir_head,1325,0,0
teacher/1032/prefix/reservoir_head,1032,0,1e-08
teacher/1032/state/force,5300,0,0
teacher/1032/prefix/force,4128,0,1e-08
teacher/1032/state/kc,16,0,0
teacher/1032/prefix/kc,16,0,1e-08
teacher/1032/state/ke,16,0,0
teacher/1032/prefix/ke,16,0,1e-08
teacher/1032/state/moisture,5300,0,0
teacher/1032/prefix/moisture,4128,0,1e-08
teacher/1032/state/background,5300,0,0
teacher/1032/prefix/background,4128,0,1e-08
teacher/1032/state/background_rate,5300,0,0
teacher/1032/prefix/background_rate,4128,0,1e-08
teacher/1032/explicit_projection,5300,5.6843418860808015e-14,1e-08
teacher/1032/derived_features,53000,0,1e-08
teacher/1032/objective,3,0,1e-08
teacher/1032/terminal_error,4,0,0
teacher/1092/initialization,54,0,0
teacher/1092/clipped_initialization,54,0,0
teacher/1092/parameter_record,54,0,0
teacher/1092/forcing,2770,0,0
teacher/1092/full_mean,5540,0,0
teacher/1092/prefix_mean,4368,0,1e-08
teacher/1092/state/coordinates,5540,0,0
teacher/1092/prefix/coordinates,4368,0,1e-08
teacher/1092/state/plastic,5540,0,0
teacher/1092/prefix/plastic,4368,0,1e-08
teacher/1092/state/contact,5540,0,0
teacher/1092/prefix/contact,4368,0,1e-08
teacher/1092/state/bulk_reaction,5540,0,0
teacher/1092/prefix/bulk_reaction,4368,0,1e-08
teacher/1092/state/basal_reaction,5540,0,0
teacher/1092/prefix/basal_reaction,4368,0,1e-08
teacher/1092/state/rain_head,5540,0,0
teacher/1092/prefix/rain_head,4368,0,1e-08
teacher/1092/state/reservoir_head,1385,0,0
teacher/1092/prefix/reservoir_head,1092,0,1e-08
teacher/1092/state/force,5540,0,0
teacher/1092/prefix/force,4368,0,1e-08
teacher/1092/state/kc,16,0,0
teacher/1092/prefix/kc,16,0,1e-08
teacher/1092/state/ke,16,0,0
teacher/1092/prefix/ke,16,0,1e-08
teacher/1092/state/moisture,5540,0,0
teacher/1092/prefix/moisture,4368,0,1e-08
teacher/1092/state/background,5540,0,0
teacher/1092/prefix/background,4368,0,1e-08
teacher/1092/state/background_rate,5540,0,0
teacher/1092/prefix/background_rate,4368,0,1e-08
teacher/1092/explicit_projection,5540,5.6843418860808015e-14,1e-08
teacher/1092/derived_features,55400,0,1e-08
teacher/1092/objective,3,0,1e-08
teacher/1092/terminal_error,4,0,0
teacher/1152/initialization,54,0,0
teacher/1152/clipped_initialization,54,0,0
teacher/1152/parameter_record,54,0,0
teacher/1152/forcing,2890,0,0
teacher/1152/full_mean,5780,0,0
teacher/1152/prefix_mean,4608,0,1e-08
teacher/1152/state/coordinates,5780,0,0
teacher/1152/prefix/coordinates,4608,0,1e-08
teacher/1152/state/plastic,5780,0,0
teacher/1152/prefix/plastic,4608,0,1e-08
teacher/1152/state/contact,5780,0,0
teacher/1152/prefix/contact,4608,0,1e-08
teacher/1152/state/bulk_reaction,5780,0,0
teacher/1152/prefix/bulk_reaction,4608,0,1e-08
teacher/1152/state/basal_reaction,5780,0,0
teacher/1152/prefix/basal_reaction,4608,0,1e-08
teacher/1152/state/rain_head,5780,0,0
teacher/1152/prefix/rain_head,4608,0,1e-08
teacher/1152/state/reservoir_head,1445,0,0
teacher/1152/prefix/reservoir_head,1152,0,1e-08
teacher/1152/state/force,5780,0,0
teacher/1152/prefix/force,4608,0,1e-08
teacher/1152/state/kc,16,0,0
teacher/1152/prefix/kc,16,0,1e-08
teacher/1152/state/ke,16,0,0
teacher/1152/prefix/ke,16,0,1e-08
teacher/1152/state/moisture,5780,0,0
teacher/1152/prefix/moisture,4608,0,1e-08
teacher/1152/state/background,5780,0,0
teacher/1152/prefix/background,4608,0,1e-08
teacher/1152/state/background_rate,5780,0,0
teacher/1152/prefix/background_rate,4608,0,1e-08
teacher/1152/explicit_projection,5780,5.6843418860808015e-14,1e-08
teacher/1152/derived_features,57800,0,1e-08
teacher/1152/objective,3,0,1e-08
teacher/1152/terminal_error,4,0,0
612/scale_mean,56,0,9.9999999999999998e-13
612/scale_std,56,0,9.9999999999999998e-13
612/scale_unit,4,0,0
612/bplus,1172,0,0
612/anchored_bplus,1172,0,0
612/drift,1172,0,0
612/BPLUS_CONTINUOUS/frozen_control,1172,0,0
612/DRIFT1/frozen_control,1172,0,0
612/RR_COND/frozen_control,1172,0,0
612/issue_input_0,34272,0,1.0000000000000001e-09
612/issue_input_1,1,0,1.0000000000000001e-09
612/issue_input_2,11760,0,1.0000000000000001e-09
612/issue_input_3,588,0,1.0000000000000001e-09
612/G_CACHED/432/training_input_0,24192,0,1.0000000000000001e-09
612/G_CACHED/432/training_input_1,1,0,1.0000000000000001e-09
612/G_CACHED/432/training_input_2,7240,0,1.0000000000000001e-09
612/G_CACHED/432/training_input_3,362,0,1.0000000000000001e-09
612/G_CACHED/432/all_mature_targets,720,0,9.9999999999999998e-13
612/G_CACHED/492/training_input_0,27552,0,1.0000000000000001e-09
612/G_CACHED/492/training_input_1,1,0,1.0000000000000001e-09
612/G_CACHED/492/training_input_2,4840,0,1.0000000000000001e-09
612/G_CACHED/492/training_input_3,242,0,1.0000000000000001e-09
612/G_CACHED/492/all_mature_targets,480,0,9.9999999999999998e-13
612/G_CACHED/552/training_input_0,30912,0,1.0000000000000001e-09
612/G_CACHED/552/training_input_1,1,0,1.0000000000000001e-09
612/G_CACHED/552/training_input_2,2440,0,1.0000000000000001e-09
612/G_CACHED/552/training_input_3,122,0,1.0000000000000001e-09
612/G_CACHED/552/all_mature_targets,240,0,9.9999999999999998e-13
612/G_CACHED/0/origins,800,0,0
612/G_CACHED/0/distances,12800,0,0
612/G_CACHED/0/loss,200,0,0
612/G_CACHED/0/0/reload,1172,0,0
612/G_CACHED/0/0/change,1172,0,0
612/G_CACHED/0/0/numpy,1172,0,9.9999999999999995e-08
612/G_CACHED/0/0/h0,4,0,1e-10
612/G_CACHED/0/zero,1172,0,0
