case,date,station,split,actual_displacement_mm,v0_candidate_status,candidate_v0_mm_per_day,v0_candidate_available,v5_kinematic_branch_status,velocity_mm_per_day,velocity_status,velocity_ratio,velocity_ratio_status,delta_v_mm_per_day,delta_v_state,delta_v_near_zero_tau_mm_per_day,tangent_angle_degree,tangent_angle_status,interval_level,v4_reference_final_color,v4_reference_candidate_color,v4_reference_site_fusion_status,v4_reference_site_confirmed_color,v4_reference_local_max_color,candidate_display_only,v5_fusion_output,formal_warning_output,vajont_used
ootang,2019-02-06,MJ3,calibration,1209.645173472285,initial_segment_selected,0.2481312611240816,True,candidate_available,0.1294059413910417,valid,0.5215221202068948,candidate_available,0.0058580837931003,positive,0.0033703372423854266,27.543037357132626,candidate_available,1,blue,blue,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-06,MJ9,calibration,342.49417,unavailable,,False,not_applicable_v0_unavailable,0.0283000000000015,valid,,not_applicable_v0_unavailable,0.0093800000000214,positive,0.0004299540000099334,,not_applicable_v0_unavailable,1,blue,blue,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-07,ATU1,calibration,458.786710886765,unavailable,,False,not_applicable_v0_unavailable,0.0233198342974674,valid,,not_applicable_v0_unavailable,-0.0040382414436521,near_zero,0.006800805353298056,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-07,ATU2,calibration,327.40977,unavailable,,False,not_applicable_v0_unavailable,0.080349999999953,valid,,not_applicable_v0_unavailable,0.0070699999999419,positive,0.0015419039999837046,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-07,ATU3,calibration,559.98759,unavailable,,False,not_applicable_v0_unavailable,0.0127999999999701,valid,,not_applicable_v0_unavailable,-0.0103900000000294,negative,0.002846591999955304,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-07,ATU4,calibration,281.94096,unavailable,,False,not_applicable_v0_unavailable,-9.999999974752429e-06,valid,,not_applicable_v0_unavailable,-0.0004899999999565,near_zero,0.0013639920000009212,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-07,ATU5,calibration,593.2058059272797,unavailable,,False,not_applicable_v0_unavailable,0.0737005018013405,valid,,not_applicable_v0_unavailable,-0.0016045918201825,near_zero,0.008835445149900466,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-07,MJ1,calibration,940.7458356789848,initial_segment_selected,0.2503420449965549,True,candidate_available,0.1705063950583962,valid,0.6810937214351774,candidate_available,0.0060847182357974,positive,0.00474848045251647,34.25853156143816,candidate_available,2,yellow,yellow,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-07,MJ3,calibration,1209.780109957793,initial_segment_selected,0.2481312611240816,True,candidate_available,0.1349364855079784,valid,0.5438109043442998,candidate_available,0.0055305441169366,positive,0.0033703372423854266,28.5378297911571,candidate_available,2,yellow,yellow,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-07,MJ9,calibration,342.53119,unavailable,,False,not_applicable_v0_unavailable,0.037019999999984,valid,,not_applicable_v0_unavailable,0.0087199999999825,positive,0.0004299540000099334,,not_applicable_v0_unavailable,1,blue,blue,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-08,ATU1,calibration,458.8063633925854,unavailable,,False,not_applicable_v0_unavailable,0.0196525058204315,valid,,not_applicable_v0_unavailable,-0.0036673284770358,near_zero,0.006800805353298056,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-08,ATU2,calibration,327.49638,unavailable,,False,not_applicable_v0_unavailable,0.0866100000000074,valid,,not_applicable_v0_unavailable,0.0062600000000543,positive,0.0015419039999837046,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
