model,horizon,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
B_ANCHOR,14,ATU1,363,2.67827320668,4.31980292763,2.56320004041,0.914600550964,17.5744767674,21.4647094171,0.953168044077,22.55659673,27.8209362147,0.961432506887,26.8778427942,34.2190499979
B_ANCHOR,14,ATU5,363,2.73325725665,5.27743404756,2.83517384444,0.947658402204,19.1168470392,25.6798868857,0.955922865014,24.5362075423,35.6082003863,0.95867768595,29.2366945679,48.150819731
B_ANCHOR,14,MJ3,363,3.783794626,6.62607456143,3.13725567502,0.865013774105,12.9073668699,25.9349836801,0.878787878788,16.566426027,39.3014339529,0.887052341598,19.7401141557,60.474932735
B_ANCHOR,14,MJ1,363,3.37139923736,4.4885385717,2.3672856996,0.812672176309,9.04527687708,15.973556533,0.873278236915,11.6094871857,22.8310149905,0.884297520661,13.8335572176,33.326254022
B_ANCHOR,15,ATU1,362,2.83947036637,4.54964206286,2.72979362254,0.919889502762,18.9086013732,22.890724506,0.950276243094,24.2689271235,29.6826596168,0.958563535912,28.9182103052,36.2600184883
B_ANCHOR,15,ATU5,362,2.91742591548,5.55629357428,3.04151461488,0.947513812155,20.7331034966,27.6495299584,0.953038674033,26.6106502471,38.1988986586,0.955801104972,31.7085455113,51.2528350531
B_ANCHOR,15,MJ3,362,4.05934842411,7.09720581444,3.38113809359,0.864640883978,13.7141970655,28.0854674594,0.878453038674,17.6019813719,42.8016097122,0.883977900552,20.974054457,66.331697848
B_ANCHOR,15,MJ1,362,3.61050866966,4.80693743624,2.54286536422,0.803867403315,9.69196632845,17.2842512008,0.870165745856,12.4395041107,24.8112645186,0.881215469613,14.8225833855,36.3976641111
B_ANCHOR,16,ATU1,361,3.00098085154,4.77359495037,2.89684863861,0.927977839335,20.2877107245,24.3714891715,0.947368421053,26.038994813,31.5289112192,0.961218836565,31.0273760479,38.2652918537
B_ANCHOR,16,ATU5,361,3.10032446523,5.82960406096,3.25099146188,0.94459833795,22.4164841363,29.6596146197,0.950138504155,28.7712459072,40.7722957236,0.952908587258,34.2830540326,54.2321218956
B_ANCHOR,16,MJ3,361,4.33544273698,7.56756954467,3.63019008744,0.861495844875,14.6802662371,30.3179749488,0.875346260388,18.8419177299,46.3543865444,0.883656509695,22.4515297563,72.0924952383
B_ANCHOR,16,MJ1,361,3.84918645602,5.12477550302,2.7232303352,0.806094182825,10.308392386,18.6796926795,0.86703601108,13.2306783902,26.9651711015,0.875346260388,15.7653256867,39.8077603238
B_ANCHOR,17,ATU1,360,3.16354668927,4.99148019944,3.02848739607,0.930555555556,21.1592547644,25.3802645405,0.95,27.1576094778,32.7118827198,0.961111111111,32.3602876332,39.2995174135
B_ANCHOR,17,ATU5,360,3.28350911906,6.09724418151,3.4376592631,0.947222222222,23.8258013026,31.375876201,0.95,30.5800849075,42.9275081076,0.95,36.4384186415,56.5907490885
B_ANCHOR,17,MJ3,360,4.61179029081,8.03706400055,3.89090012105,0.858333333333,15.7827459262,32.7207837141,0.869444444444,20.2569350918,50.1502789058,0.880555555556,24.1376269393,78.2034733581
B_ANCHOR,17,MJ1,360,4.08759071525,5.44201856259,2.90104078985,0.8,10.9508949868,20.0327238371,0.863888888889,14.0553215506,29.0448978708,0.875,16.7479486192,43.0587844977
B_ANCHOR,18,ATU1,359,3.32495309714,5.2031195697,3.19697630211,0.935933147632,22.6291742594,26.9021969497,0.947075208914,29.0442307249,34.5235127624,0.963788300836,34.6083355058,41.1429089499
B_ANCHOR,18,ATU5,359,3.46756155951,6.35915872882,3.6514900053,0.944289693593,25.6182424961,33.4385044042,0.947075208914,32.8806582729,45.458377217,0.949860724234,39.1797208864,59.207298327
B_ANCHOR,18,MJ3,359,4.88853687194,8.50557839409,4.1455737384,0.855153203343,16.7535180391,35.0249531447,0.866295264624,21.5029076095,53.839777503,0.877437325905,25.6222947665,84.2286236105
B_ANCHOR,18,MJ1,359,4.32550653123,5.75860848512,3.08246873354,0.799442896936,11.6712378337,21.4821908967,0.857938718663,14.9798715852,31.2662841172,0.871866295265,17.849617935,46.4998835065
B_ANCHOR,19,ATU1,358,3.48837199898,5.40836586521,3.36972947034,0.935754189944,24.1865721191,28.4660874574,0.944134078212,31.0431292375,36.2690730703,0.966480446927,36.990169992,42.963689856
B_ANCHOR,19,ATU5,358,3.65420624605,6.615434716,3.86880792282,0.941340782123,27.4792541316,35.5207644866,0.944134078212,35.269240848,47.9499376682,0.949720670391,42.0258925728,61.8051004025
B_ANCHOR,19,MJ3,358,5.16548087267,8.97299657867,4.40256256457,0.851955307263,17.7215768852,37.3583486989,0.86312849162,22.7453976872,57.5855605166,0.874301675978,27.1028130105,90.3599491256
B_ANCHOR,19,MJ1,358,4.56259666305,6.07447957157,3.26250575327,0.793296089385,12.3129241075,22.8727035817,0.854748603352,15.8034670014,33.4344638458,0.868715083799,18.8309924032,49.8921775572
B_ANCHOR,20,ATU1,357,3.65628878798,5.60856787439,3.5004502193,0.935574229692,25.0797181677,29.3196523498,0.952380952381,32.1894697804,37.0878946325,0.96918767507,38.3561189988,43.5444622979
B_ANCHOR,20,ATU5,357,3.84230425116,6.86647801964,4.09002905357,0.93837535014,29.4134209034,37.6230693652,0.941176470588,37.7517170239,50.3975606959,0.946778711485,44.9839453852,64.2043972439
B_ANCHOR,20,MJ3,357,5.44244090889,9.4392003854,4.65656396681,0.848739495798,18.4637457431,39.6538382856,0.862745098039,23.6979611036,61.4125355777,0.871148459384,28.2378623296,96.8779324107
B_ANCHOR,20,MJ1,357,4.79899276445,6.38953221141,3.4482719121,0.792717086835,12.9050861195,24.3572833382,0.851540616246,16.5634987155,35.792687336,0.865546218487,19.736626049,53.6993127349
B_ANCHOR,21,ATU1,356,3.83222542181,5.80385316215,3.65976628997,0.932584269663,26.4776884658,30.6029538482,0.952247191011,33.9837452329,38.4595967542,0.969101123596,40.4941300702,44.7914735804
B_ANCHOR,21,ATU5,356,4.02998610117,7.11263717965,4.28041774344,0.938202247191,30.9862298863,39.3347318344,0.941011235955,39.770395499,52.2748429913,0.943820224719,47.3893491505,65.7028654566
B_ANCHOR,21,MJ3,356,5.7197219615,9.90407825241,4.91704989293,0.845505617978,19.4062253215,42.0360958921,0.859550561798,24.9076205466,65.2653610832,0.86797752809,29.6792604595,103.258350811
B_ANCHOR,21,MJ1,356,5.03436191235,6.70362994542,3.63018770695,0.786516853933,13.5304720781,25.7846874146,0.848314606742,17.3661729035,38.0445938017,0.862359550562,20.6930713362,57.2712998442
B_ANCHOR,22,ATU1,355,4.00830916902,5.9943376004,3.82058834463,0.935211267606,27.9222650468,31.8920817288,0.952112676056,35.8378392019,39.797855329,0.971830985915,42.7034193004,45.9098075589
B_ANCHOR,22,ATU5,355,4.21703698942,7.35439238748,4.47414514113,0.935211267606,32.6327850313,41.0596532932,0.940845070423,41.8837261484,54.1270109434,0.940845070423,49.9075379377,66.9530371345
B_ANCHOR,22,MJ3,355,5.99701524615,10.3675340832,5.17920626748,0.842253521127,20.3374706275,44.4380776885,0.856338028169,26.102860957,69.1620964759,0.864788732394,31.1034772523,109.733132288
B_ANCHOR,22,MJ1,355,5.26874139796,7.01666698901,3.81278102974,0.785915492958,14.1458955119,27.2270987086,0.845070422535,18.1560603294,40.3258645448,0.856338028169,21.6342802568,60.9136750605
B_ANCHOR,23,ATU1,354,4.18039256399,6.18084826995,3.93273483563,0.935028248588,28.6593857704,32.4442162845,0.957627118644,36.7839234082,40.2003857797,0.977401129944,43.8307481643,45.8903346376
B_ANCHOR,23,ATU5,354,4.40283247377,7.59222134009,4.70210082589,0.932203389831,34.7337413042,43.1797755064,0.937853107345,44.5802743314,56.4411297983,0.940677966102,53.1206732798,68.6681971342
