phase,model,rule,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
final_exploratory,RR_COND,LAST90,MJ3,293,14.611218165582468,17.030816367209294,19.689335538131374,1.0,199.82918474785765,199.82918474785765,1.0,256.47798195587353,256.47798195587353,1.0,305.61236527331266,305.61236527331266
final_exploratory,RR_COND,LAST90,MJ1,293,5.144020029070374,5.7760603298007736,15.944834271749501,1.0,172.7146032970762,172.7146032970762,1.0,221.6767934265331,221.6767934265331,1.0,264.1441914376182,264.1441914376182
final_exploratory,RR_COND,DIST90,ATU1,293,11.605648621437904,12.20026770917112,10.972144044291607,1.0,100.70291355135126,100.70291355135126,1.0,129.25079025527202,129.25079025527202,1.0,154.0118158374877,154.0118158374877
final_exploratory,RR_COND,DIST90,ATU5,293,13.912059377385877,14.345710269854921,11.90331641226252,1.0,104.9157805981489,104.9157805981489,1.0,134.6579465711747,134.6579465711747,1.0,160.45483998522852,160.45483998522852
final_exploratory,RR_COND,DIST90,MJ3,293,14.611218165582468,17.030816367209294,9.045557071648716,1.0,52.936331967370606,52.936331967370606,1.0,67.94304651879915,67.94304651879915,1.0,80.95913338111554,80.95913338111554
final_exploratory,RR_COND,DIST90,MJ1,293,5.144020029070374,5.7760603298007736,4.690262573761975,0.9658703071672355,39.56476276513227,39.647356915631015,1.0,50.78082324845597,50.78082324845597,1.0,60.50908302201432,60.50908302201432
final_exploratory,RR_COND,DIST90_UNIT,ATU1,293,11.605648621437904,12.20026770917112,11.296097752897497,1.0,105.03482949549245,105.03482949549245,1.0,134.810744176706,134.810744176706,1.0,160.63690956203362,160.63690956203362
final_exploratory,RR_COND,DIST90_UNIT,ATU5,293,13.912059377385877,14.345710269854921,12.54620298982535,1.0,113.89200195418718,113.89200195418718,1.0,146.1788019551909,146.1788019551909,1.0,174.1827858971187,174.1827858971187
final_exploratory,RR_COND,DIST90_UNIT,MJ3,293,14.611218165582468,17.030816367209294,9.073111652567714,1.0,54.22494750244607,54.22494750244607,1.0,69.59696665248813,69.59696665248813,1.0,82.92990077477351,82.92990077477351
final_exploratory,RR_COND,DIST90_UNIT,MJ1,293,5.144020029070374,5.7760603298007736,5.1848611712320745,1.0,46.64465325328468,46.64465325328468,1.0,59.867764313451616,59.867764313451616,1.0,71.33684114298359,71.33684114298359
final_exploratory,TRANSFORMER_BRES_COND,LAST90,ATU1,293,4.121325129553896,7.483541191338646,18.24692673656866,1.0,196.96833483645747,196.96833483645747,1.0,252.80612084669477,252.80612084669477,1.0,301.2370728993874,301.2370728993874
final_exploratory,TRANSFORMER_BRES_COND,LAST90,ATU5,293,5.5383521892462735,6.6469539925140575,19.31005948239831,1.0,209.4252873986827,209.4252873986827,1.0,268.7944463683691,268.7944463683691,1.0,320.2883378156842,320.2883378156842
final_exploratory,TRANSFORMER_BRES_COND,LAST90,MJ3,293,11.936891338898093,16.48831331410919,20.51461362987152,1.0,210.6657943795003,210.6657943795003,1.0,270.3866198411465,270.3866198411465,1.0,322.1855295248138,322.1855295248138
final_exploratory,TRANSFORMER_BRES_COND,LAST90,MJ1,293,5.9387738088495015,6.4975194208905505,18.636066772415724,1.0,202.05399596712363,202.05399596712363,1.0,259.3334962415876,259.3334962415876,1.0,309.01492040991275,309.01492040991275
final_exploratory,TRANSFORMER_BRES_COND,DIST90,ATU1,293,4.121325129553896,7.483541191338646,8.789032161075896,1.0,92.24136884071751,92.24136884071751,1.0,118.39051519409375,118.39051519409375,1.0,141.070999929413,141.070999929413
final_exploratory,TRANSFORMER_BRES_COND,DIST90,ATU5,293,5.5383521892462735,6.6469539925140575,9.779920936723823,1.0,101.37811167340088,101.37811167340088,1.0,130.1173976629047,130.1173976629047,1.0,155.04444225473526,155.04444225473526
final_exploratory,TRANSFORMER_BRES_COND,DIST90,MJ3,293,11.936891338898093,16.48831331410919,8.215775580851119,1.0,51.79965192774293,51.79965192774293,1.0,66.48413348234213,66.48413348234213,1.0,79.2207312757979,79.2207312757979
final_exploratory,TRANSFORMER_BRES_COND,DIST90,MJ1,293,5.9387738088495015,6.4975194208905505,6.777568251253623,1.0,67.66158898826477,67.66158898826477,1.0,86.84270929461393,86.84270929461393,1.0,103.47947060358507,103.47947060358507
final_exploratory,TRANSFORMER_BRES_COND,DIST90_UNIT,ATU1,293,4.121325129553896,7.483541191338646,9.13552688801848,1.0,96.20929630477,96.20929630477,1.0,123.48329495902942,123.48329495902942,1.0,147.13942131166567,147.13942131166567
final_exploratory,TRANSFORMER_BRES_COND,DIST90_UNIT,ATU5,293,5.5383521892462735,6.6469539925140575,10.529931307282968,1.0,110.05166264780668,110.05166264780668,1.0,141.2497798177633,141.2497798177633,1.0,168.30949376335985,168.30949376335985
final_exploratory,TRANSFORMER_BRES_COND,DIST90_UNIT,MJ3,293,11.936891338898093,16.48831331410919,8.257353335398689,1.0,53.06059755251215,53.06059755251215,1.0,68.10253967063232,68.10253967063232,1.0,81.14918119342643,81.14918119342643
final_exploratory,TRANSFORMER_BRES_COND,DIST90_UNIT,MJ1,293,5.9387738088495015,6.4975194208905505,7.790174029770142,1.0,79.76924759183058,79.76924759183058,1.0,102.38272087386109,102.38272087386109,1.0,121.99653650878028,121.99653650878028
final_exploratory,TRANSFORMER_BRES_REG1,LAST90,ATU1,293,4.460447066315863,7.5760138654794815,16.074503602828973,1.0,172.61486851941936,172.61486851941936,1.0,221.5487852252459,221.5487852252459,1.0,263.99166025786,263.99166025786
final_exploratory,TRANSFORMER_BRES_REG1,LAST90,ATU5,293,5.5020264989306495,6.874177030315004,17.51652462564053,1.0,189.32237948434064,189.32237948434064,1.0,242.99264339438946,242.99264339438946,1.0,289.5435932763635,289.5435932763635
final_exploratory,TRANSFORMER_BRES_REG1,LAST90,MJ3,293,10.914830228584544,15.272657164200396,19.35227575035951,1.0,199.25487230403087,199.25487230403087,1.0,255.7408599144123,255.7408599144123,1.0,304.73403018634644,304.73403018634644
final_exploratory,TRANSFORMER_BRES_REG1,LAST90,MJ1,293,5.280166453287214,5.906485798209436,17.685117806797813,1.0,191.92876473156767,191.92876473156767,1.0,246.33790264294137,246.33790264294137,1.0,293.52971552984496,293.52971552984496
final_exploratory,TRANSFORMER_BRES_REG1,DIST90,ATU1,293,4.460447066315863,7.5760138654794815,8.045365361712006,1.0,83.33394117238478,83.33394117238478,1.0,106.95795555234517,106.95795555234517,1.0,127.448264883704,127.448264883704
