origin,arm,seed,step,point,mse,penalty,objective,free_output_lower_bound,excess_objective,mae_mm,rmse_mm
972,G10_ANCHOR_UNIFORM,2,400,ATU1,0.0031120664703912677,0.0021780907737003635,0.0052901572440916308,0.0040028611424978815,0.0012872961015937612,7.2619213892364325,10.134802399143789
972,G10_ANCHOR_UNIFORM,2,400,ATU5,0.01103998017972924,0.0056373078447286918,0.016677288024457931,0.013809453733330791,0.0028678342911271173,15.81974590224849,23.324860966558681
972,G10_ANCHOR_UNIFORM,2,400,MJ3,0.077645932476903962,0.069116522404746777,0.14676245488165074,0.14491596820693156,0.0018464866747189969,19.494652122263034,28.933235928650074
972,G10_ANCHOR_UNIFORM,2,400,MJ1,0.02054911246010057,0.018712896548706792,0.039262009008807358,0.036902563723121,0.0023594452856861721,10.260975016425366,13.812089349813466
972,T10_ANCHOR_UNIFORM,0,400,ATU1,0.0037530088389282857,0.0017389464626267523,0.0054919553015550376,0.0040028611424978815,0.0014890941590571451,7.8012805895776154,11.129627957823841
972,T10_ANCHOR_UNIFORM,0,400,ATU5,0.011791435765633839,0.0054478106155887466,0.017239246381222584,0.013809453733330791,0.0034297926478918102,15.575848769160723,24.105617531775767
972,T10_ANCHOR_UNIFORM,0,400,MJ3,0.081082888469710054,0.066160670371016611,0.14724355884072665,0.14491596820693156,0.0023275906337944454,20.207956242579861,29.566659453759002
972,T10_ANCHOR_UNIFORM,0,400,MJ1,0.022703174759012665,0.016467636603424141,0.039170811362436803,0.036902563723121,0.0022682476393158344,10.786651370071977,14.517978226643409
972,T10_ANCHOR_UNIFORM,1,400,ATU1,0.0032547957836620398,0.0023485008002340122,0.005603296583896052,0.0040028611424978815,0.0016004354413981716,7.302573262798246,10.364604286605962
972,T10_ANCHOR_UNIFORM,1,400,ATU5,0.01092030678643692,0.0054570047361183829,0.016377311522555303,0.013809453733330791,0.0025678577892245627,15.179921261879402,23.198095741676944
972,T10_ANCHOR_UNIFORM,1,400,MJ3,0.074460791590257619,0.072900122064961201,0.14736091365521881,0.14491596820693156,0.0024449454482871262,19.058722005648352,28.333581694886412
972,T10_ANCHOR_UNIFORM,1,400,MJ1,0.019977001448349886,0.019615804575657633,0.039592806024007519,0.036902563723121,0.0026902423008865204,9.954245060102636,13.618459863570893
972,T10_ANCHOR_UNIFORM,2,400,ATU1,0.0031777864214389251,0.0019917567524834357,0.0051695431739223613,0.0040028611424978815,0.0011666820314244829,7.1237969149117246,10.241255611056078
972,T10_ANCHOR_UNIFORM,2,400,ATU5,0.010932049485213634,0.0054410655090156284,0.016373114994229263,0.013809453733330791,0.002563661260898486,15.664564886322118,23.2105649453556
972,T10_ANCHOR_UNIFORM,2,400,MJ3,0.078350422407827178,0.068262138437973421,0.1466125608458006,0.14491596820693156,0.0016965926388686958,19.730729217425427,29.064196731185934
972,T10_ANCHOR_UNIFORM,2,400,MJ1,0.022319901334004605,0.016774063758236552,0.039093965092241154,0.036902563723121,0.0021914013691201081,10.403490274239459,14.394910860296848
1168,G10_ANCHOR_UNIFORM,0,400,ATU1,0.0044099231898282066,0.0021417888466454768,0.0065517120364736829,0.0050066300352897067,0.0015450820011839929,8.625182736212059,12.10674576025176
1168,G10_ANCHOR_UNIFORM,0,400,ATU5,0.011149981173805178,0.0034046827243358075,0.014554663898140986,0.011565673116673812,0.0029889907814671171,14.771704322174312,23.918671987792251
1168,G10_ANCHOR_UNIFORM,0,400,MJ3,0.080485939036560844,0.065722317055924601,0.14620825609248544,0.14328944100746555,0.0029188150850198652,21.957769736977436,29.707945216897233
1168,G10_ANCHOR_UNIFORM,0,400,MJ1,0.026706641561664423,0.018574841154979094,0.04528148271664352,0.041754627343232757,0.0035268553734108029,12.915760024813009,16.826712349795901
1168,G10_ANCHOR_UNIFORM,1,400,ATU1,0.0036542895034976006,0.002492984848334978,0.0061472743518325781,0.0050066300352897067,0.0011406443165428864,8.1596444706292299,11.020806697611381
1168,G10_ANCHOR_UNIFORM,1,400,ATU5,0.0099793208584328472,0.0037995981227928249,0.013778918981225671,0.011565673116673812,0.0022132458645518281,14.335840853678615,22.628225043417821
1168,G10_ANCHOR_UNIFORM,1,400,MJ3,0.079103963398877014,0.066729602355943454,0.14583356575482048,0.14328944100746555,0.0025441247473549635,21.789341255801546,29.451792266611044
