phase,model,rule,seed,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
final_exploratory,TRANSFORMER_BRES_COND,DIST90_UNIT,2,9.164563932094746,11.493235091091334,9.559293583424179,0.9837883959044369,84.77270102422987,84.97128610439248,0.9991467576791808,108.80458383032153,108.80667858464463,1.0,129.64865819430807,129.64865819430807
final_exploratory,TRANSFORMER_BRES_REG1,LAST90,0,7.2391904160543,9.571053418296625,17.720606520371692,1.0,188.28022125983975,188.28022125983975,1.0,241.6550477942475,241.6550477942475,1.0,287.94974981260395,287.94974981260395
final_exploratory,TRANSFORMER_BRES_REG1,LAST90,1,6.877999019702489,9.043767585470555,17.66003594698526,1.0,188.28022125983975,188.28022125983975,1.0,241.6550477942475,241.6550477942475,1.0,287.94974981260395,287.94974981260395
final_exploratory,TRANSFORMER_BRES_REG1,LAST90,2,6.865507567494037,9.237890198628639,17.721691188074143,1.0,188.28022125983975,188.28022125983975,1.0,241.6550477942475,241.6550477942475,1.0,287.94974981260395,287.94974981260395
final_exploratory,TRANSFORMER_BRES_REG1,DIST90,0,7.2391904160543,9.571053418296625,7.844738328486071,0.9607508532423208,70.6935919631342,72.10045763210752,0.985494880546075,90.73424298254812,91.00700277974023,1.0,108.1165189998679,108.1165189998679
final_exploratory,TRANSFORMER_BRES_REG1,DIST90,1,6.877999019702489,9.043767585470555,7.777969312958204,0.9633105802047781,70.6935919631342,71.83966208839085,0.9889078498293515,90.73424298254812,90.80039157454763,1.0,108.1165189998679,108.1165189998679
final_exploratory,TRANSFORMER_BRES_REG1,DIST90,2,6.865507567494037,9.237890198628639,7.990104282589835,0.9573378839590444,70.69359196313421,72.74285875074057,0.9735494880546075,90.73424298254811,91.74811325277022,1.0,108.11651899986794,108.11651899986794
final_exploratory,TRANSFORMER_BRES_REG1,DIST90_UNIT,0,7.2391904160543,9.571053418296625,8.34798456722963,0.96160409556314,76.85143604568562,78.10881767432966,0.9872013651877133,98.63775029798107,98.7804535373663,1.0,117.53412883212232,117.53412883212232
final_exploratory,TRANSFORMER_BRES_REG1,DIST90_UNIT,1,6.877999019702489,9.043767585470555,8.28064465698599,0.9650170648464164,76.85143604568563,77.8581429372808,0.9982935153583617,98.63775029798107,98.64377275357968,1.0,117.53412883212232,117.53412883212232
final_exploratory,TRANSFORMER_BRES_REG1,DIST90_UNIT,2,6.865507567494037,9.237890198628639,8.496208755172637,0.9590443686006827,76.85143604568562,78.73799856470882,0.9761092150170648,98.63775029798109,99.4092816105389,1.0,117.53412883212232,117.53412883212232
final_exploratory,TRANSFORMER_BRES_HALF,LAST90,0,7.271549407694487,9.659007880738537,17.703445854970724,1.0,188.02575415314917,188.02575415314917,1.0,241.32844279868388,241.32844279868388,1.0,287.56057595665277,287.56057595665277
final_exploratory,TRANSFORMER_BRES_HALF,LAST90,1,6.675712730323876,8.792289243782742,17.608225228023823,1.0,188.02575415314917,188.02575415314917,1.0,241.32844279868388,241.32844279868388,1.0,287.56057595665277,287.56057595665277
final_exploratory,TRANSFORMER_BRES_HALF,LAST90,2,6.6887386329529805,9.083208107928094,17.665170307645607,1.0,188.02575415314917,188.02575415314917,1.0,241.32844279868388,241.32844279868388,1.0,287.56057595665277,287.56057595665277
final_exploratory,TRANSFORMER_BRES_HALF,DIST90,0,7.271549407694487,9.659007880738537,7.9203020892568246,0.9633105802047781,71.98298645430512,73.06671434539052,0.9897610921501706,92.3891628955619,92.45415104256396,1.0,110.08847770406985,110.08847770406985
final_exploratory,TRANSFORMER_BRES_HALF,DIST90,1,6.675712730323876,8.792289243782742,7.799974207000038,0.9692832764505119,71.9829864543051,72.74478384732464,1.0,92.3891628955619,92.3891628955619,1.0,110.08847770406985,110.08847770406985
final_exploratory,TRANSFORMER_BRES_HALF,DIST90,2,6.6887386329529805,9.083208107928094,7.9531130543641435,0.962457337883959,71.9829864543051,73.3845630637212,0.9820819112627986,92.38916289556191,92.64566411523846,1.0,110.08847770406985,110.08847770406985
final_exploratory,TRANSFORMER_BRES_HALF,DIST90_UNIT,0,7.271549407694487,9.659007880738537,8.426123779990425,0.9658703071672354,78.1846372430192,79.1256949927942,1.0,100.34889550965143,100.34889550965143,1.0,119.57308411193513,119.57308411193513
final_exploratory,TRANSFORMER_BRES_HALF,DIST90_UNIT,1,6.675712730323876,8.792289243782742,8.308210924436,0.9709897610921502,78.1846372430192,78.82797432752966,1.0,100.3488955096514,100.3488955096514,1.0,119.57308411193513,119.57308411193513
final_exploratory,TRANSFORMER_BRES_HALF,DIST90_UNIT,2,6.6887386329529805,9.083208107928094,8.46368437282689,0.9650170648464164,78.1846372430192,79.44353171996117,0.9863481228668942,100.34889550965141,100.45059170077234,1.0,119.57308411193513,119.57308411193513
