phase,model,rule,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,RR_COND,LAST90,ATU1,376,46.1701715154773,50.5977342355339,36.83024350552342,0.14893617021276595,46.22019283440154,287.8590824724487,0.2154255319148936,59.32297526378061,436.3377888677714,0.2925531914893617,70.68768495119107,656.3093584763675
development,RR_COND,LAST90,ATU5,376,49.04102582767028,55.20399321435355,44.98561719408732,0.0398936170212766,18.79445537098191,416.2733887598558,0.06382978723404255,24.122422315796168,768.5807162692206,0.0797872340425532,28.743639059513995,1431.9650748129316
development,RR_COND,LAST90,MJ3,376,31.86444682293991,41.678539494875224,28.801818523330308,1.0,238.16140974428905,238.16140974428905,1.0,305.6768601045663,305.6768601045663,1.0,364.2364444443778,364.2364444443778
development,RR_COND,LAST90,MJ1,376,25.652194519556552,36.119049655539364,20.155965284249362,0.7021276595744681,63.065915681370825,154.10023443630067,0.7313829787234043,80.94422646304959,212.01740988671864,0.7393617021276596,96.45099480253724,276.71835372418593
development,RR_COND,DIST90,ATU1,376,46.1701715154773,50.5977342355339,36.83024350552342,0.14893617021276595,46.22019283440154,287.8590824724487,0.2154255319148936,59.32297526378061,436.3377888677714,0.2925531914893617,70.68768495119107,656.3093584763675
development,RR_COND,DIST90,ATU5,376,49.04102582767028,55.20399321435355,44.98561719408732,0.0398936170212766,18.79445537098191,416.2733887598558,0.06382978723404255,24.122422315796168,768.5807162692206,0.0797872340425532,28.743639059513995,1431.9650748129316
development,RR_COND,DIST90,MJ3,376,31.86444682293991,41.678539494875224,28.801818523330308,1.0,238.16140974428905,238.16140974428905,1.0,305.6768601045663,305.6768601045663,1.0,364.2364444443778,364.2364444443778
development,RR_COND,DIST90,MJ1,376,25.652194519556552,36.119049655539364,20.155965284249362,0.7021276595744681,63.065915681370825,154.10023443630067,0.7313829787234043,80.94422646304959,212.01740988671864,0.7393617021276596,96.45099480253724,276.71835372418593
development,RR_COND,DIST90_UNIT,ATU1,376,46.1701715154773,50.5977342355339,35.65723087769582,0.19946808510638298,53.51705886073465,265.10046683971893,0.2845744680851064,68.68840141711101,375.7240495159672,0.44680851063829785,81.84727852209033,526.2998298384666
development,RR_COND,DIST90_UNIT,ATU5,376,49.04102582767028,55.20399321435355,44.23472742286958,0.05851063829787234,22.492869127232776,402.36650610400073,0.0797872340425532,28.86928498171801,729.3237930424033,0.1276595744680851,34.39987479521747,1336.0824603662722
development,RR_COND,DIST90_UNIT,MJ3,376,31.86444682293991,41.678539494875224,30.16093070867384,1.0,258.7035359468706,258.7035359468706,1.0,332.0423936484731,332.0423936484731,1.0,395.65291538897395,395.65291538897395
development,RR_COND,DIST90_UNIT,MJ1,376,25.652194519556552,36.119049655539364,19.991533239776587,0.7287234042553191,78.00481344167608,147.52089086533576,0.7526595744680851,100.1180941593169,180.92325564363776,0.8218085106382979,119.29806734033612,195.8695109460605
development,TRANSFORMER_BRES_COND,LAST90,ATU1,376,43.62913415580091,49.66769261117446,39.91568857367938,0.0851063829787234,18.034696701390274,368.49108929941275,0.09840425531914894,23.147282620380455,677.6492786026691,0.17287234042553193,27.581688444824806,1258.8668355195373
development,TRANSFORMER_BRES_COND,LAST90,ATU5,376,47.44688126682189,55.108665433207285,45.849885526471866,0.10372340425531915,7.716787550011011,445.1982596524824,0.13829787234042554,9.904389594074473,865.693411911329,0.18351063829787234,11.801808121502779,1691.4269428148077
development,TRANSFORMER_BRES_COND,LAST90,MJ3,376,32.06380917902094,43.35515017871947,28.124153559513427,1.0,218.28333905400495,218.28333905400495,1.0,280.1636325835123,280.1636325835123,1.0,333.8355587659782,333.8355587659782
development,TRANSFORMER_BRES_COND,LAST90,MJ1,376,36.2092343786452,44.614959314268674,26.758833270534,0.6835106382978723,64.58335380805175,186.7032192702805,0.7021276595744681,82.89183721352698,270.8806925919485,0.7287234042553191,98.77171615080437,383.9546498228599
development,TRANSFORMER_BRES_COND,DIST90,ATU1,376,43.62913415580091,49.66769261117446,39.91568857367938,0.0851063829787234,18.034696701390274,368.49108929941275,0.09840425531914894,23.147282620380455,677.6492786026691,0.17287234042553193,27.581688444824806,1258.8668355195373
development,TRANSFORMER_BRES_COND,DIST90,ATU5,376,47.44688126682189,55.108665433207285,45.849885526471866,0.10372340425531915,7.716787550011011,445.1982596524824,0.13829787234042554,9.904389594074473,865.693411911329,0.18351063829787234,11.801808121502779,1691.4269428148077
development,TRANSFORMER_BRES_COND,DIST90,MJ3,376,32.06380917902094,43.35515017871947,28.124153559513427,1.0,218.28333905400495,218.28333905400495,1.0,280.1636325835123,280.1636325835123,1.0,333.8355587659782,333.8355587659782
development,TRANSFORMER_BRES_COND,DIST90,MJ1,376,36.2092343786452,44.614959314268674,26.758833270534,0.6835106382978723,64.58335380805175,186.7032192702805,0.7021276595744681,82.89183721352698,270.8806925919485,0.7287234042553191,98.77171615080437,383.9546498228599
development,TRANSFORMER_BRES_COND,DIST90_UNIT,ATU1,376,43.62913415580091,49.66769261117446,39.37934903168926,0.09308510638297872,20.88186711729668,358.36803121540794,0.14893617021276595,26.801586287172366,648.9783602463002,0.21010638297872342,31.936059835766937,1193.673584954979
development,TRANSFORMER_BRES_COND,DIST90_UNIT,ATU5,376,47.44688126682189,55.108665433207285,45.56723792193741,0.13031914893617022,9.235313767753723,440.02241375953855,0.18351063829787234,11.853396894310208,851.2447473991589,0.2074468085106383,14.124193561444459,1656.4176010206552
development,TRANSFORMER_BRES_COND,DIST90_UNIT,MJ3,376,32.06380917902094,43.35515017871947,29.263119726942435,1.0,237.1109228493101,237.1109228493101,1.0,304.328574771599,304.328574771599,1.0,362.6298633783142,362.6298633783142
development,TRANSFORMER_BRES_COND,DIST90_UNIT,MJ1,376,36.2092343786452,44.614959314268674,25.965660634348335,0.6968085106382979,79.88169854993589,178.38068679801472,0.7340425531914894,102.52705011605885,234.99841697174804,0.7606382978723404,122.16851540829458,287.6369304928942
