outer_days,branch,strategy,station,part,first_index,end_index_exclusive,days,rmse_mm,mae_mm,bias_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
432,NEW,IN,ATU5,outer_train,30,432,402,17.66364470839233,14.198453719091265,-12.941433259336684,15.151577626602483,1.0,141.90412563984967,141.90412563984967,1.0,182.16001848508574,182.16001848508574,1.0,217.09236708283706,217.09236708283706
432,NEW,IN,MJ3,outer_train,30,432,402,6.180715322470607,5.403550491977802,-1.4595537474144324,6.2058640825056575,1.0,61.07412967176632,61.07412967176632,1.0,78.43924954673253,78.43924954673253,1.0,93.53113918714126,93.53113918714126
432,NEW,IN,MJ1,outer_train,30,432,402,6.783934586300537,5.600119751054002,-1.0229281403938153,4.118166154864968,0.5298507462686567,11.170639434535502,27.775388001479225,0.6517412935323383,14.230472649473088,34.76710898113651,0.7935323383084577,16.853723329466586,44.297118509162104
432,NEW,IN,ATU1,prediction,432,612,180,68.37213375813782,67.26273509575884,-67.26273509575884,47.027109750980465,0.044444444444444446,100.652562708667,280.8689781075898,0.3611111111111111,129.29932253024134,253.4102077394778,0.9666666666666667,154.2103874704845,163.75979064575444
432,NEW,IN,ATU5,prediction,432,612,180,159.10659597973,151.53701486754207,-151.53701486754207,122.06817549473811,0.07777777777777778,142.42285537030983,971.0696113667635,0.15,182.82083101888432,1488.4239340254364,0.18888888888888888,217.8731840487276,2249.2730244982795
432,NEW,IN,MJ3,prediction,432,612,180,7.3848042573448875,6.235945592095648,0.24350434877989705,6.428794984312751,1.0,60.65513065230456,60.65513065230456,1.0,77.91859753416949,77.91859753416949,1.0,92.93291234659215,92.93291234659215
432,NEW,IN,MJ1,prediction,432,612,180,15.62947497278031,12.649763122810933,12.629342455915197,10.690707395004077,0.3,12.084232354297056,89.17520788324326,0.35555555555555557,15.273650775671738,147.60070364348186,0.4222222222222222,17.975164305576826,249.56004983325766
432,NEW,OOF,ATU1,old_fit_context,30,342,312,13.009707651821607,10.520524500657034,10.39375550389872,7.461698620674552,0.8589743589743589,37.24924887771234,44.57229507615473,0.9102564102564102,47.81687622323701,50.91009479454933,1.0,56.989124314208894,56.989124314208894
432,NEW,OOF,ATU5,old_fit_context,30,342,312,13.390494132349751,9.763600270845918,7.32121301346931,8.30689245556457,0.9519230769230769,61.203744475962736,61.61177055026336,1.0,78.80204437529915,78.80204437529915,1.0,94.20332307420674,94.20332307420674
432,NEW,OOF,MJ3,old_fit_context,30,342,312,10.342358994322286,7.625841507431422,7.456630128896898,6.597288026418569,1.0,50.89268486610545,50.89268486610545,1.0,65.3696139070908,65.3696139070908,1.0,77.95425509803455,77.95425509803455
432,NEW,OOF,MJ1,old_fit_context,30,342,312,7.612054654455391,6.132269859972473,5.836609413961603,6.745701318264837,1.0,63.77230011337839,63.77230011337839,1.0,82.22659015002625,82.22659015002625,1.0,98.46516801025561,98.46516801025561
432,NEW,OOF,ATU1,scale_context,342,432,90,25.411350325406104,22.661349351375048,19.933126352318574,16.464262494797325,0.34444444444444444,38.62002036006969,109.20748711078375,0.5,49.54809403657947,122.3542918854501,0.6444444444444445,59.016290821905436,121.94166753848975
432,NEW,OOF,ATU5,scale_context,342,432,90,33.80947109387563,32.41193054061989,32.41193054061989,21.534695637400144,0.35555555555555557,62.13387972687257,113.42328913862978,0.8555555555555555,79.961023704694,90.03425831544826,1.0,95.53644095400196,95.53644095400196
432,NEW,OOF,MJ3,scale_context,342,432,90,37.05365051719406,35.79819809482978,35.79819809482978,25.52436031269744,0.2111111111111111,51.3263854132371,161.46284907568068,0.4111111111111111,65.92615455198026,190.90926764430918,0.4888888888888889,78.61580895937485,191.07856055463768
432,NEW,OOF,MJ1,scale_context,342,432,90,25.060165567438247,23.5359558477472,23.5359558477472,14.80754150582654,0.8888888888888888,64.21279848642989,64.92495661132928,1.0,82.7345208185119,82.7345208185119,1.0,98.99797785048979,98.99797785048979
432,NEW,OOF,ATU1,outer_train,30,432,402,16.611082672520926,13.238619616489425,12.529435544589733,9.477197995478157,0.7437810945273632,37.556138015553536,59.04286045704182,0.818407960199005,48.20446230085099,66.9050642925122,0.9203980099502488,57.44296756220066,71.53073846889863
432,NEW,OOF,ATU5,outer_train,30,432,402,19.876515189162618,14.834121973034124,12.938537832980636,11.268340929109847,0.818407960199005,61.411983711241064,73.21136426407675,0.9676616915422885,79.06151735949203,81.31671913801911,1.0,94.50178230102657,94.50178230102657
432,NEW,OOF,MJ3,outer_train,30,432,402,19.75852111937552,13.933085519535531,13.801757285449035,10.834692269615331,0.8233830845771144,50.989782003522976,75.64719924138349,0.8681592039800995,65.49421255893172,93.47550653482625,0.8855721393034826,78.10236417146893,103.28059214055763
432,NEW,OOF,MJ1,outer_train,30,432,402,13.62243213061045,10.028617469175769,9.799149660331512,8.55059091249507,0.9751243781094527,63.87091915212127,64.03035753829278,1.0,82.340305971329,82.340305971329,1.0,98.58445379538264,98.58445379538264
432,NEW,OOF,ATU1,prediction,432,612,180,44.56832468707868,43.35952586015898,-42.57729401656172,35.33104482232138,0.03888888888888889,37.49639437132627,287.03288196212793,0.05,48.12780098631138,446.52523583248046,0.05555555555555555,57.352769410487014,680.6419609219672
432,NEW,OOF,ATU5,prediction,432,612,180,132.31162844214944,123.62401174679216,-122.11593886924626,110.69305046216206,0.06666666666666667,61.03736197999909,1000.3039453402818,0.07777777777777778,78.57071973873947,1792.8440912453539,0.08888888888888889,93.90756631624673,3237.7623367920633
432,NEW,OOF,MJ3,prediction,432,612,180,25.903768049339003,25.009337716555965,25.009337716555965,16.221677775946524,0.4888888888888889,50.39956766642521,78.05119691116195,0.8555555555555555,64.75420778580157,76.07369727207784,1.0,77.24193376919708,77.24193376919708
432,NEW,OOF,MJ1,prediction,432,612,180,29.680484576971327,28.667754316069143,28.667754316069143,18.14499379643837,0.6722222222222223,63.83864026998746,83.66461346790162,0.9111111111111111,82.28600482303435,89.29791380332193,1.0,98.50574427389755,98.50574427389755
612,OLD,P0,ATU1,old_fit_context,30,432,402,9.663759325541799,7.424712228000846,0.028416898084577695,13.60780895094265,1.0,141.96003093320138,141.96003093320138,1.0,182.20372738192876,182.20372738192876,1.0,217.10913195809994,217.10913195809994
612,OLD,P0,ATU5,old_fit_context,30,432,402,4.005363489196314,2.893415141871011,0.27360303003619796,32.77797390897789,1.0,358.9989638336375,358.9989638336375,1.0,460.7701823305309,460.7701823305309,1.0,549.0415358422508,549.0415358422508
612,OLD,P0,MJ3,old_fit_context,30,432,402,6.545388968296211,5.642903753780936,0.2836226039307987,4.567525136887698,1.0,37.73019809409231,37.73019809409231,1.0,48.42618504948733,48.42618504948733,1.0,57.703358494406174,57.703358494406174
612,OLD,P0,MJ1,old_fit_context,30,432,402,8.277645765670897,6.927245936145315,-1.4748320227623013,6.332025843062721,1.0,56.07555087149818,56.07555087149818,1.0,71.97219045823944,71.97219045823944,1.0,85.76015441636477,85.76015441636477
612,OLD,P0,ATU1,scale_context,432,612,180,55.386000418770955,54.513970896972424,-54.513970896972424,33.23085149827951,0.9611111111111111,141.96003093320118,145.80158403503842,1.0,182.20372738192862,182.20372738192862,1.0,217.1091319580999,217.1091319580999
612,OLD,P0,ATU5,scale_context,432,612,180,140.06419011407704,134.6063919201048,-134.6063919201048,83.70251345327085,1.0,358.99896383363745,358.99896383363745,1.0,460.77018233053093,460.77018233053093,1.0,549.0415358422515,549.0415358422515
612,OLD,P0,MJ3,scale_context,432,612,180,14.720515018928182,12.545990697413949,9.369023589531562,8.523593304035009,0.7277777777777777,37.73019809409215,49.067578953769306,0.9222222222222223,48.426185049487856,50.95006502059308,1.0,57.70335849440579,57.70335849440579
612,OLD,P0,MJ1,scale_context,432,612,180,21.877992443612733,18.144087691792183,17.989047984031647,12.719441404734736,0.7333333333333333,56.075550871498145,70.13478361946888,0.9333333333333333,71.97219045823951,73.13841232030849,1.0,85.76015441636474,85.76015441636474
612,OLD,P0,ATU1,outer_train,30,612,582,31.83159353225741,21.988400476136384,-16.84036283234542,19.67679118207776,0.9879725085910653,141.96003093320132,143.1481401399551,1.0,182.20372738192873,182.20372738192873,1.0,217.10913195809988,217.10913195809988
612,OLD,P0,ATU5,outer_train,30,612,582,77.96471560686585,43.629387341324765,-41.44185932567752,48.527831499996346,1.0,358.99896383363745,358.99896383363745,1.0,460.770182330531,460.770182330531,1.0,549.041535842251,549.041535842251
