model,horizon,n_per_point,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,mae,rmse,pooled_rmse
B_TREND14,30,347,4.46585273014,0.762247838617,18.137700664,40.1342337627,0.807636887608,26.3865949849,64.0924144715,0.827089337176,32.4413785784,99.3245051764,4.95954679497,8.75640989025,9.19906775328
C7_EMP_DATA,1,376,8.33839912531e-05,0.773271276596,0.000357615243669,0.000618100619252,0.882313829787,0.000516588373888,0.000806787192266,0.942154255319,0.000708207343369,0.00101013962966,0.000108666512563,0.000158985941686,0.000163590169975
C7_EMP_DATA,2,375,0.000317904490219,0.770666666667,0.00142355813932,0.00237808503518,0.880666666667,0.00199156757135,0.00310427500484,0.94,0.00278589506963,0.00404912785522,0.00040884499726,0.00059570616515,0.000612582197402
C7_EMP_DATA,3,374,0.000776023758959,0.767379679144,0.00348029488645,0.00575858886442,0.880347593583,0.00485174715872,0.00749025090648,0.935160427807,0.00665614401802,0.00976678153056,0.000998478458959,0.00143609254197,0.00147571094156
C7_EMP_DATA,4,373,0.00153193832289,0.759383378016,0.00692335350208,0.0113739249702,0.869973190349,0.00962721445307,0.0147380929755,0.927613941019,0.0127920492572,0.0186991117531,0.00197332444184,0.00280990853345,0.00288517202754
C7_EMP_DATA,5,372,0.00266228601524,0.754704301075,0.0119555055916,0.019632018052,0.867607526882,0.0166878640695,0.0253892528906,0.923387096774,0.0218415190227,0.0317458629886,0.00343137738939,0.00484725774555,0.00497318022068
C7_EMP_DATA,6,371,0.00424356639546,0.753369272237,0.0190357840487,0.0312040930268,0.86320754717,0.0265230200777,0.0402356096732,0.920485175202,0.0347321717997,0.0500848490724,0.00547541748849,0.00767449635334,0.00786808266114
C7_EMP_DATA,7,370,0.00634678535815,0.753378378378,0.0285482146536,0.0466865856249,0.863513513514,0.0397661341523,0.0600089733841,0.915540540541,0.0509361597154,0.0735381980361,0.00820897339685,0.0114087857465,0.011689302128
C7_EMP_DATA,8,369,0.00903406852064,0.756775067751,0.0405439103892,0.0662927671562,0.862466124661,0.0568891594401,0.085471167085,0.911246612466,0.0712352328834,0.103905778589,0.0117030421058,0.0161493832816,0.0165393030811
C7_EMP_DATA,9,368,0.0123595828773,0.758831521739,0.0558384229419,0.0904844209958,0.859375,0.0778661261101,0.116718753522,0.90625,0.0961526727898,0.141167061602,0.0160376015321,0.0219735329438,0.0224998715497
