fit_days,strategy,segment,station,days,rmse_P0_mm,mae_P0_mm,rmse_NORM_mm,mae_NORM_mm,rmse_PROBE_mm,mae_PROBE_mm,nonzero_pairs,same_direction_days,same_direction_fraction,forecast_improves_P0,forecast_improves_NORM
432,OOF,all,ATU1,180,55.386000418770955,54.513970896972424,63.247350820887974,62.48234460769914,37.616342485463164,29.490699711544362,180,159,0.8833333333333333,True,True
432,OOF,all,ATU5,180,140.06419011407704,134.6063919201048,147.24107606329494,142.18659830319646,64.63627311906455,59.312072444633266,180,159,0.8833333333333333,True,True
432,OOF,all,MJ3,180,14.720515018928182,12.545990697413949,11.168614471607066,9.591461333711255,72.19013656772981,57.41503947116409,180,51,0.2833333333333333,False,False
432,OOF,all,MJ1,180,21.877992443612733,18.144087691792183,14.785449084960288,11.41265856363932,55.153849336927856,43.66979232392195,180,32,0.17777777777777778,False,False
432,OOF,days_1_30,ATU1,30,57.197608294364606,52.80331164339482,64.76349987413901,61.01050991828619,52.263211014767144,45.6988131553405,30,9,0.3,True,True
432,OOF,days_1_30,ATU5,30,68.34523706167072,62.52874689260478,77.99000906232156,71.94768711735654,57.492571824337375,53.35639042456885,30,9,0.3,True,True
432,OOF,days_1_30,MJ3,30,6.86993477420696,6.2709062723555915,13.537534381678679,12.522076192306432,4.0941807577291875,3.6324678480636523,30,30,1.0,True,True
432,OOF,days_1_30,MJ1,30,0.6032667457502434,0.5462985706280808,1.7365597296972763,1.6202582589540233,2.5216894250310053,2.066669893293094,30,28,0.9333333333333333,False,False
432,OOF,days_31_90,ATU1,60,52.74484136787298,52.42518079695015,61.095861114553,60.73703297621782,12.898256558448905,10.350960985552007,60,60,1.0,True,True
432,OOF,days_31_90,ATU5,60,128.21510409676227,127.37698047620161,135.30585200295332,134.6032616448339,72.0395248553623,70.55638288867888,60,60,1.0,True,True
432,OOF,days_31_90,MJ3,60,6.5025535272188035,5.820851823762314,8.642774969689135,6.406364065182728,32.73020553739132,27.70312612005078,60,21,0.35,False,False
432,OOF,days_31_90,MJ1,60,12.261396470835933,11.077853235170137,4.70104048619806,4.142739011875365,21.815557516436687,17.73900230395656,60,4,0.06666666666666667,False,False
432,OOF,days_91_180,ATU1,90,56.480236301113464,56.476717381513126,64.13954814454122,64.136497258491,42.527489391501234,36.847821047607226,90,90,1.0,True,True
432,OOF,days_91_180,ATU5,90,163.46107268273465,163.45188122520696,170.6671401643472,170.65512647071813,61.59627888810743,53.80109282195766,90,90,1.0,True,True
432,OOF,days_91_180,MJ3,90,19.734901114391157,19.12111142153449,11.772393410062405,10.737987893198547,98.5041452273087,95.15050557960643,90,0,0.0,False,False
432,OOF,days_91_180,MJ1,90,29.2736041658697,28.72084036992825,20.529992895462033,19.523405033043723,75.92427491261934,74.82469314744183,90,0,0.0,False,False
612,IN,all,ATU1,180,4.264416212270162,2.9570455475789585,10.78946794857316,8.508927163096079,8.03691712574675,6.0167536568055136,180,104,0.5777777777777777,False,True
612,IN,all,ATU5,180,5.021708368573075,4.3470540930039006,7.629947486265576,6.566912843277156,10.549674135734593,6.9299998446692905,180,108,0.6,False,False
612,IN,all,MJ3,180,61.04552849517042,50.59326022797686,62.78622035189697,53.24770154206218,62.94746348819758,53.32132117291939,180,26,0.14444444444444443,False,False
612,IN,all,MJ1,180,18.647526258184858,15.311142958359284,18.4646812950052,14.875482266199697,18.918541045225556,15.514772454626502,180,90,0.5,False,False
612,IN,days_1_30,ATU1,30,0.5747134709127756,0.39419689633795846,1.7690981783169395,1.6410364395049157,3.167804516487749,3.1486201500950783,30,14,0.4666666666666667,False,False
