fit_days,strategy,lead,target,station,candidate_origin,candidate_target,distance,past_distance_min,past_distance_median,past_distance_max,query_demand_mm,probe_correction_mm,norm_correction_mm,nonzero_pair,same_direction
612,IN,34,646,MJ1,252,286,0.7052827466676694,1.4691080312120208,2.1833329436926716,2.274158737504335,5.270760459271514,8.510482306113317,2.6753121303039507,True,True
612,IN,35,647,ATU1,252,287,0.7070035851821588,1.469085764956393,2.173962636787384,2.264763450316383,3.087607001001686,2.7096357986314246,-0.05720221306995654,True,True
612,IN,35,647,ATU5,252,287,0.7070035851821588,1.469085764956393,2.173962636787384,2.264763450316383,-5.6917366136707415,-7.106721916596726,2.1773903509073307,True,True
612,IN,35,647,MJ3,252,287,0.7070035851821588,1.469085764956393,2.173962636787384,2.264763450316383,-13.706184750106786,0.8584851223571377,3.994985869233915,True,False
612,IN,35,647,MJ1,252,287,0.7070035851821588,1.469085764956393,2.173962636787384,2.264763450316383,5.495554849315454,8.915075209431166,2.6632908129455473,True,True
612,IN,36,648,ATU1,252,288,0.702769192156593,1.4692366510652317,2.1630656290724937,2.255398037146391,3.3983304123119638,3.258909874419615,-0.3171870886565671,True,True
612,IN,36,648,ATU5,252,288,0.702769192156593,1.4692366510652317,2.1630656290724937,2.255398037146391,-5.710764471407515,-7.072686286408725,1.5153858951963457,True,True
612,IN,36,648,MJ3,252,288,0.702769192156593,1.4692366510652317,2.1630656290724937,2.255398037146391,-14.107238320451415,0.9006692970117456,3.8615232033844222,True,False
612,IN,36,648,MJ1,252,288,0.702769192156593,1.4692366510652317,2.1630656290724937,2.255398037146391,5.826067567484074,9.225252656580096,2.4708097493651167,True,True
612,IN,37,649,ATU1,252,289,0.6939272814836291,1.4684590946380442,2.151920935488234,2.2463118966896656,3.737935003589712,3.8512226918238497,-0.6118415214922948,True,True
612,IN,37,649,ATU5,252,289,0.6939272814836291,1.4684590946380442,2.151920935488234,2.2463118966896656,-5.698170892649159,-7.002147446239334,0.8610894641198001,True,True
612,IN,37,649,MJ3,252,289,0.6939272814836291,1.4684590946380442,2.151920935488234,2.2463118966896656,-14.454924619096346,1.0059643137348075,3.5991023584736013,True,False
612,IN,37,649,MJ1,252,289,0.6939272814836291,1.4684590946380442,2.151920935488234,2.2463118966896656,6.195569951140897,9.602007719004746,2.3352000602938006,True,True
612,IN,38,650,ATU1,252,290,0.679026117604041,1.4678928428702647,2.143165476881132,2.2361661556573376,4.090255366540703,4.465760411342707,-0.8918423928574271,True,True
612,IN,38,650,ATU5,252,290,0.679026117604041,1.4678928428702647,2.143165476881132,2.2361661556573376,-5.664909729425517,-6.902946547354887,0.4306489453628046,True,True
612,IN,38,650,MJ3,252,290,0.679026117604041,1.4678928428702647,2.143165476881132,2.2361661556573376,-14.761572974422052,1.1595019318149298,3.4540130644450073,True,False
612,IN,38,650,MJ1,252,290,0.679026117604041,1.4678928428702647,2.143165476881132,2.2361661556573376,6.583165453435981,10.010971765400086,2.3111740612787344,True,True
612,IN,39,651,ATU1,252,291,0.6651871650633241,1.4674252085466635,2.132213032462522,2.2279232686058137,4.450746785915385,5.093044148102862,-1.1852259214513765,True,True
612,IN,39,651,ATU5,252,291,0.6651871650633241,1.4674252085466635,2.132213032462522,2.2279232686058137,-5.614529205410008,-6.779801517359985,0.25736215659310346,True,True
