horizon_days,split,evaluation_role,estimator,subset,actual_level,actual_color,predicted_level,predicted_color,count
1,calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,0,green,287
1,calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,1,blue,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,2,yellow,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,3,orange,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,4,red,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,0,green,143
1,calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,1,blue,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,2,yellow,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,3,orange,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,4,red,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,0,green,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,1,blue,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,2,yellow,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,3,orange,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,4,red,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,0,green,0,green,476
1,calibration,chronological_evaluation_only,current_state_persistence,all,0,green,1,blue,55
1,calibration,chronological_evaluation_only,current_state_persistence,all,0,green,2,yellow,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,0,green,3,orange,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,0,green,4,red,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,1,blue,0,green,58
1,calibration,chronological_evaluation_only,current_state_persistence,all,1,blue,1,blue,778
1,calibration,chronological_evaluation_only,current_state_persistence,all,1,blue,2,yellow,11
1,calibration,chronological_evaluation_only,current_state_persistence,all,1,blue,3,orange,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,1,blue,4,red,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,2,yellow,0,green,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,2,yellow,1,blue,11
1,calibration,chronological_evaluation_only,current_state_persistence,all,2,yellow,2,yellow,268
1,calibration,chronological_evaluation_only,current_state_persistence,all,2,yellow,3,orange,8
1,calibration,chronological_evaluation_only,current_state_persistence,all,2,yellow,4,red,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,3,orange,0,green,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,3,orange,1,blue,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,3,orange,2,yellow,8
1,calibration,chronological_evaluation_only,current_state_persistence,all,3,orange,3,orange,135
1,calibration,chronological_evaluation_only,current_state_persistence,all,3,orange,4,red,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,4,red,0,green,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,4,red,1,blue,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,4,red,2,yellow,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,4,red,3,orange,0
1,calibration,chronological_evaluation_only,current_state_persistence,all,4,red,4,red,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,0,green,8
1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,1,blue,47
1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,2,yellow,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,3,orange,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,4,red,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,0,green,51
1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,1,blue,7
1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,2,yellow,11
1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,3,orange,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,4,red,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,0,green,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,1,blue,11
1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,2,yellow,5
1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,3,orange,3
1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,4,red,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,0,green,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,1,blue,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,2,yellow,8
1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,3,orange,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,4,red,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,0,green,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,1,blue,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,2,yellow,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,3,orange,0
1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,4,red,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,0,green,0,green,55
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,0,green,1,blue,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,0,green,2,yellow,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,0,green,3,orange,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,0,green,4,red,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,1,blue,0,green,69
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,1,blue,1,blue,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,1,blue,2,yellow,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,1,blue,3,orange,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,1,blue,4,red,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,2,yellow,0,green,19
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,2,yellow,1,blue,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,2,yellow,2,yellow,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,2,yellow,3,orange,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,2,yellow,4,red,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,3,orange,0,green,8
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,3,orange,1,blue,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,3,orange,2,yellow,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,3,orange,3,orange,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,3,orange,4,red,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,4,red,0,green,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,4,red,1,blue,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,4,red,2,yellow,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,4,red,3,orange,0
1,calibration,chronological_evaluation_only,fit_majority_prior,transition_only,4,red,4,red,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,0,green,0,green,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,0,green,1,blue,55
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,0,green,2,yellow,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,0,green,3,orange,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,0,green,4,red,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,1,blue,0,green,58
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,1,blue,1,blue,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,1,blue,2,yellow,11
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,1,blue,3,orange,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,1,blue,4,red,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,2,yellow,0,green,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,2,yellow,1,blue,11
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,2,yellow,2,yellow,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,2,yellow,3,orange,8
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,2,yellow,4,red,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,3,orange,0,green,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,3,orange,1,blue,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,3,orange,2,yellow,8
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,3,orange,3,orange,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,3,orange,4,red,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,4,red,0,green,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,4,red,1,blue,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,4,red,2,yellow,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,4,red,3,orange,0
1,calibration,chronological_evaluation_only,current_state_persistence,transition_only,4,red,4,red,0
1,test,historical_holdout_evaluation_only,ngboost,all,0,green,0,green,551
1,test,historical_holdout_evaluation_only,ngboost,all,0,green,1,blue,33
1,test,historical_holdout_evaluation_only,ngboost,all,0,green,2,yellow,0
1,test,historical_holdout_evaluation_only,ngboost,all,0,green,3,orange,0
1,test,historical_holdout_evaluation_only,ngboost,all,0,green,4,red,0
1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,0,green,35
1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,1,blue,999
1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,2,yellow,5
1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,3,orange,0
1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,4,red,0
1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,0,green,0
1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,1,blue,10
1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,2,yellow,171
1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,3,orange,1
1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,4,red,0
1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,0,green,0
1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,1,blue,0
1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,2,yellow,14
1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,3,orange,98
1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,4,red,21
1,test,historical_holdout_evaluation_only,ngboost,all,4,red,0,green,0
1,test,historical_holdout_evaluation_only,ngboost,all,4,red,1,blue,0
1,test,historical_holdout_evaluation_only,ngboost,all,4,red,2,yellow,0
1,test,historical_holdout_evaluation_only,ngboost,all,4,red,3,orange,2
1,test,historical_holdout_evaluation_only,ngboost,all,4,red,4,red,348
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,0,green,0,green,584
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,0,green,1,blue,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,0,green,2,yellow,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,0,green,3,orange,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,0,green,4,red,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,1,blue,0,green,1039
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,1,blue,1,blue,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,1,blue,2,yellow,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,1,blue,3,orange,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,1,blue,4,red,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,2,yellow,0,green,182
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,2,yellow,1,blue,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,2,yellow,2,yellow,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,2,yellow,3,orange,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,2,yellow,4,red,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,3,orange,0,green,133
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,3,orange,1,blue,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,3,orange,2,yellow,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,3,orange,3,orange,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,3,orange,4,red,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,4,red,0,green,350
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,4,red,1,blue,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,4,red,2,yellow,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,4,red,3,orange,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,all,4,red,4,red,0
1,test,historical_holdout_evaluation_only,current_state_persistence,all,0,green,0,green,555
1,test,historical_holdout_evaluation_only,current_state_persistence,all,0,green,1,blue,29
1,test,historical_holdout_evaluation_only,current_state_persistence,all,0,green,2,yellow,0
1,test,historical_holdout_evaluation_only,current_state_persistence,all,0,green,3,orange,0
1,test,historical_holdout_evaluation_only,current_state_persistence,all,0,green,4,red,0
1,test,historical_holdout_evaluation_only,current_state_persistence,all,1,blue,0,green,32
1,test,historical_holdout_evaluation_only,current_state_persistence,all,1,blue,1,blue,1002
1,test,historical_holdout_evaluation_only,current_state_persistence,all,1,blue,2,yellow,5
1,test,historical_holdout_evaluation_only,current_state_persistence,all,1,blue,3,orange,0
1,test,historical_holdout_evaluation_only,current_state_persistence,all,1,blue,4,red,0
1,test,historical_holdout_evaluation_only,current_state_persistence,all,2,yellow,0,green,0
1,test,historical_holdout_evaluation_only,current_state_persistence,all,2,yellow,1,blue,11
1,test,historical_holdout_evaluation_only,current_state_persistence,all,2,yellow,2,yellow,168
1,test,historical_holdout_evaluation_only,current_state_persistence,all,2,yellow,3,orange,3
1,test,historical_holdout_evaluation_only,current_state_persistence,all,2,yellow,4,red,0
1,test,historical_holdout_evaluation_only,current_state_persistence,all,3,orange,0,green,0
1,test,historical_holdout_evaluation_only,current_state_persistence,all,3,orange,1,blue,0
1,test,historical_holdout_evaluation_only,current_state_persistence,all,3,orange,2,yellow,9
1,test,historical_holdout_evaluation_only,current_state_persistence,all,3,orange,3,orange,116
1,test,historical_holdout_evaluation_only,current_state_persistence,all,3,orange,4,red,8
1,test,historical_holdout_evaluation_only,current_state_persistence,all,4,red,0,green,0
1,test,historical_holdout_evaluation_only,current_state_persistence,all,4,red,1,blue,0
1,test,historical_holdout_evaluation_only,current_state_persistence,all,4,red,2,yellow,0
1,test,historical_holdout_evaluation_only,current_state_persistence,all,4,red,3,orange,13
1,test,historical_holdout_evaluation_only,current_state_persistence,all,4,red,4,red,337
1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,0,green,4
1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,1,blue,25
1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,2,yellow,0
1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,3,orange,0
1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,4,red,0
1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,0,green,27
1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,1,blue,5
1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,2,yellow,5
1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,3,orange,0
1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,4,red,0
1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,0,green,0
1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,1,blue,10
1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,2,yellow,3
1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,3,orange,1
1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,4,red,0
1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,0,green,0
1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,1,blue,0
1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,2,yellow,9
1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,3,orange,0
1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,4,red,8
1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,0,green,0
1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,1,blue,0
1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,2,yellow,0
1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,3,orange,2
1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,4,red,11
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,0,green,0,green,29
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,0,green,1,blue,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,0,green,2,yellow,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,0,green,3,orange,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,0,green,4,red,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,1,blue,0,green,37
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,1,blue,1,blue,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,1,blue,2,yellow,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,1,blue,3,orange,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,1,blue,4,red,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,2,yellow,0,green,14
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,2,yellow,1,blue,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,2,yellow,2,yellow,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,2,yellow,3,orange,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,2,yellow,4,red,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,3,orange,0,green,17
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,3,orange,1,blue,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,3,orange,2,yellow,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,3,orange,3,orange,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,3,orange,4,red,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,4,red,0,green,13
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,4,red,1,blue,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,4,red,2,yellow,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,4,red,3,orange,0
1,test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,4,red,4,red,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,0,green,0,green,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,0,green,1,blue,29
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,0,green,2,yellow,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,0,green,3,orange,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,0,green,4,red,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,1,blue,0,green,32
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,1,blue,1,blue,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,1,blue,2,yellow,5
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,1,blue,3,orange,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,1,blue,4,red,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,2,yellow,0,green,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,2,yellow,1,blue,11
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,2,yellow,2,yellow,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,2,yellow,3,orange,3
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,2,yellow,4,red,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,3,orange,0,green,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,3,orange,1,blue,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,3,orange,2,yellow,9
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,3,orange,3,orange,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,3,orange,4,red,8
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,4,red,0,green,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,4,red,1,blue,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,4,red,2,yellow,0
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,4,red,3,orange,13
1,test,historical_holdout_evaluation_only,current_state_persistence,transition_only,4,red,4,red,0
3,calibration,chronological_evaluation_only,ngboost,all,0,green,0,green,433
3,calibration,chronological_evaluation_only,ngboost,all,0,green,1,blue,86
3,calibration,chronological_evaluation_only,ngboost,all,0,green,2,yellow,0
3,calibration,chronological_evaluation_only,ngboost,all,0,green,3,orange,0
3,calibration,chronological_evaluation_only,ngboost,all,0,green,4,red,0
3,calibration,chronological_evaluation_only,ngboost,all,1,blue,0,green,117
3,calibration,chronological_evaluation_only,ngboost,all,1,blue,1,blue,702
3,calibration,chronological_evaluation_only,ngboost,all,1,blue,2,yellow,26
3,calibration,chronological_evaluation_only,ngboost,all,1,blue,3,orange,0
3,calibration,chronological_evaluation_only,ngboost,all,1,blue,4,red,0
3,calibration,chronological_evaluation_only,ngboost,all,2,yellow,0,green,0
3,calibration,chronological_evaluation_only,ngboost,all,2,yellow,1,blue,20
3,calibration,chronological_evaluation_only,ngboost,all,2,yellow,2,yellow,265
3,calibration,chronological_evaluation_only,ngboost,all,2,yellow,3,orange,0
3,calibration,chronological_evaluation_only,ngboost,all,2,yellow,4,red,0
3,calibration,chronological_evaluation_only,ngboost,all,3,orange,0,green,0
3,calibration,chronological_evaluation_only,ngboost,all,3,orange,1,blue,0
3,calibration,chronological_evaluation_only,ngboost,all,3,orange,2,yellow,112
3,calibration,chronological_evaluation_only,ngboost,all,3,orange,3,orange,0
3,calibration,chronological_evaluation_only,ngboost,all,3,orange,4,red,31
3,calibration,chronological_evaluation_only,ngboost,all,4,red,0,green,0
3,calibration,chronological_evaluation_only,ngboost,all,4,red,1,blue,0
3,calibration,chronological_evaluation_only,ngboost,all,4,red,2,yellow,0
3,calibration,chronological_evaluation_only,ngboost,all,4,red,3,orange,0
3,calibration,chronological_evaluation_only,ngboost,all,4,red,4,red,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,0,green,519
3,calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,1,blue,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,2,yellow,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,3,orange,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,4,red,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,0,green,845
3,calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,1,blue,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,2,yellow,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,3,orange,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,4,red,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,0,green,285
3,calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,1,blue,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,2,yellow,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,3,orange,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,4,red,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,0,green,143
3,calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,1,blue,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,2,yellow,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,3,orange,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,4,red,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,0,green,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,1,blue,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,2,yellow,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,3,orange,0
3,calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,4,red,0
3,calibration,chronological_evaluation_only,current_state_persistence,all,0,green,0,green,420
