horizon_days,split,evaluation_role,estimator,subset,reliability_kind,class_level,class_color,bin_index,bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency,class_support,calibration_status
1,calibration,chronological_evaluation_only,fit_majority_prior,all,top_label,,,2,0.2,0.30000000000000004,0,,,1808,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,top_label,,,3,0.30000000000000004,0.4,0,,,1808,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,top_label,,,4,0.4,0.5,1808,0.4859890109890108,0.2936946902654867,1808,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,top_label,,,5,0.5,0.6000000000000001,0,,,1808,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,top_label,,,6,0.6000000000000001,0.7000000000000001,0,,,1808,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,top_label,,,7,0.7000000000000001,0.8,0,,,1808,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,top_label,,,8,0.8,0.9,0,,,1808,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,top_label,,,9,0.9,1.0,0,,,1808,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,0.0,green,0,0.0,0.1,0,,,531,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,0.0,green,1,0.1,0.2,0,,,531,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,0.0,green,2,0.2,0.30000000000000004,0,,,531,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,0.0,green,3,0.30000000000000004,0.4,0,,,531,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,0.0,green,4,0.4,0.5,1808,0.4859890109890108,0.2936946902654867,531,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,0.0,green,5,0.5,0.6000000000000001,0,,,531,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,0.0,green,6,0.6000000000000001,0.7000000000000001,0,,,531,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,0.0,green,7,0.7000000000000001,0.8,0,,,531,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,0.0,green,8,0.8,0.9,0,,,531,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,0.0,green,9,0.9,1.0,0,,,531,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,1.0,blue,0,0.0,0.1,0,,,847,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,1.0,blue,1,0.1,0.2,0,,,847,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,1.0,blue,2,0.2,0.30000000000000004,0,,,847,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,1.0,blue,3,0.30000000000000004,0.4,1808,0.3942307692307692,0.4684734513274336,847,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,1.0,blue,4,0.4,0.5,0,,,847,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,1.0,blue,5,0.5,0.6000000000000001,0,,,847,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,1.0,blue,6,0.6000000000000001,0.7000000000000001,0,,,847,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,1.0,blue,7,0.7000000000000001,0.8,0,,,847,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,1.0,blue,8,0.8,0.9,0,,,847,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,1.0,blue,9,0.9,1.0,0,,,847,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,0,0.0,0.1,1808,0.09629120879120881,0.15873893805309736,287,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,1,0.1,0.2,0,,,287,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,2,0.2,0.30000000000000004,0,,,287,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,3,0.30000000000000004,0.4,0,,,287,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,4,0.4,0.5,0,,,287,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,5,0.5,0.6000000000000001,0,,,287,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,6,0.6000000000000001,0.7000000000000001,0,,,287,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,7,0.7000000000000001,0.8,0,,,287,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,8,0.8,0.9,0,,,287,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,9,0.9,1.0,0,,,287,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,3.0,orange,0,0.0,0.1,1808,0.011401098901098899,0.0790929203539823,143,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,3.0,orange,1,0.1,0.2,0,,,143,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,3.0,orange,2,0.2,0.30000000000000004,0,,,143,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,3.0,orange,3,0.30000000000000004,0.4,0,,,143,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,3.0,orange,4,0.4,0.5,0,,,143,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,3.0,orange,5,0.5,0.6000000000000001,0,,,143,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,3.0,orange,6,0.6000000000000001,0.7000000000000001,0,,,143,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,3.0,orange,7,0.7000000000000001,0.8,0,,,143,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,3.0,orange,8,0.8,0.9,0,,,143,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest,3.0,orange,9,0.9,1.0,0,,,143,empty_bin
