model,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
TCN_DIRECT_COND,MJ3,376,72.572833784411173,80.003154491475385,46.842338129254166,0.8936170212765957,227.29841496685643,244.36858200443345,1,291.73435725130275,291.73435725130275,1,347.62292759461707,347.62292759461707
TCN_DIRECT_COND,MJ1,376,27.060436713171946,31.90585170305431,19.562810049042902,0.44414893617021278,47.878197909940106,125.02269641740378,0.70478723404255317,61.451001739909749,155.10088564816004,0.81382978723404253,73.223384896171424,207.38462564502626
TCN_BRES_COND,ATU1,376,45.159007670076917,49.186254843972932,39.643855153774595,0.053191489361702128,26.592901340009586,350.42541761627524,0.10638297872340426,34.131619356018135,612.12333163869937,0.13563829787234041,40.670332955893699,1081.4520492676384
TCN_BRES_COND,ATU5,376,55.729772168394,60.960914513731979,48.245612650779449,0.079787234042553196,36.596595915031685,418.96718816801769,0.14893617021276595,46.971222339646374,720.49302734443449,0.18351063829787234,55.969663553683716,1253.0633637498008
TCN_BRES_COND,MJ3,376,37.039579641945664,43.647554828336588,28.164876974589525,1,214.34211211398454,214.34211211398454,1,275.10512257015898,275.10512257015898,1,327.80797231138467,327.80797231138467
TCN_BRES_COND,MJ1,376,36.038317520187498,44.598191396677542,27.328138844739737,0.56914893617021278,55.996305046260204,196.22475309327049,0.68882978723404253,71.870479446592796,290.93158005441592,0.70744680851063835,85.638958360094861,440.16665613670114
TRANSFORMER_DIRECT_COND,ATU1,376,17.646158055963333,21.882505859649768,16.370626822577183,1,143.11252347094594,143.11252347094594,1,183.68293529673878,183.68293529673878,1,218.87171712868184,218.87171712868184
TRANSFORMER_DIRECT_COND,ATU5,376,54.537611536332427,58.577379012578746,36.720907394506412,1,261.58701240997334,261.58701240997334,1,335.74329562236397,335.74329562236397,1,400.06281208755365,400.06281208755365
TRANSFORMER_DIRECT_COND,MJ3,376,11.406617943733355,14.891702891547018,8.5525864176355526,0.84042553191489366,47.745375451465861,53.71504238326046,0.9813829787234043,61.280525960053637,61.791404616503371,1,73.020250475406556,73.020250475406556
TRANSFORMER_DIRECT_COND,MJ1,376,49.366807297481209,52.07557883170297,31.120499641079963,1,189.46058230516041,189.46058230516041,1,243.17002479455473,243.17002479455473,1,289.75495625125325,289.75495625125325
TRANSFORMER_BRES_COND,ATU1,376,43.629134155800898,49.667692611174459,39.91568857367939,0.085106382978723402,18.034696701390427,368.49108929941252,0.098404255319148939,23.147282620380334,677.64927860266937,0.17287234042553193,27.581688444824678,1258.8668355195373
TRANSFORMER_BRES_COND,ATU5,376,47.44688126682189,55.108665433207285,45.849885526471923,0.10372340425531915,7.7167875500110767,445.19825965248231,0.13829787234042554,9.9043895940744733,865.69341191132889,0.18351063829787234,11.801808121502745,1691.4269428148086
TRANSFORMER_BRES_COND,MJ3,376,32.063809179020957,43.35515017871947,28.124153559513431,1,218.28333905400629,218.28333905400629,1,280.16363258351021,280.16363258351021,1,333.83555876597939,333.83555876597939
TRANSFORMER_BRES_COND,MJ1,376,36.209234378645192,44.614959314268674,26.758833270534016,0.68351063829787229,64.583353808052109,186.7032192702807,0.7021276595744681,82.891837213527666,270.88069259194873,0.72872340425531912,98.771716150803982,383.95464982285949
CNN_MAMBA_DIRECT_COND,ATU1,376,36.874066444294641,44.263136010070895,25.673576106680859,0.9042553191489362,151.69304722799598,164.45040120302514,0.97340425531914898,194.69591831075368,200.52435309785378,1,231.99449578578694,231.99449578578694
CNN_MAMBA_DIRECT_COND,ATU5,376,69.129337245312328,75.79121487926848,44.578332608588347,0.96010638297872342,258.90165922188334,266.01168211101009,1,332.29668211899059,332.29668211899059,1,395.95591879045151,395.95591879045151
CNN_MAMBA_DIRECT_COND,MJ3,376,14.740563634019308,16.713002575408684,10.65058982853504,0.44946808510638298,24.567808075965331,68.093210345886618,0.66223404255319152,31.532440290708564,84.990743410865363,0.71808510638297873,37.573220073686116,108.1461280236159
CNN_MAMBA_DIRECT_COND,MJ1,376,51.771641570102908,53.44818353051442,31.631120091452352,1,164.41180798369919,164.41180798369919,1,211.02027101087808,211.02027101087808,1,251.44616178142451,251.44616178142451
CNN_MAMBA_BRES_COND,ATU1,376,47.184730033012301,53.349238901413081,42.49907739962228,0.11170212765957446,23.849861005303421,385.48137614288584,0.16489361702127658,30.610965201537578,694.83645330587842,0.18085106382978725,36.475214781401753,1267.8846691533984
CNN_MAMBA_BRES_COND,ATU5,376,54.185631050186863,61.293835789324078,46.674305112514446,0.22606382978723405,41.453717662740701,404.11124304626566,0.25,53.205270612116017,689.32841397531513,0.26063829787234044,63.397990239851879,1183.6208215845165
CNN_MAMBA_BRES_COND,MJ3,376,32.615791740496071,41.630198996185491,27.559414213648413,1,218.20849370968608,218.20849370968608,1,280.06756962406735,280.06756962406735,1,333.72109268968461,333.72109268968461
CNN_MAMBA_BRES_COND,MJ1,376,36.141111771202304,44.143241089625199,26.758088702075934,0.56648936170212771,62.092017743392901,183.60171508131316,0.71276595744680848,79.694241992169466,259.12691953346842,0.74734042553191493,94.961546438247311,371.96075786461898
